 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,,
15/5/2017,Excellent,5,Former Employee - Anonymous Employee,ProsGood Management| Good Culture| Good People,ConsNo issues faced during the tenure,0,,
7/5/2017,Great company,4,Current Employee - Deputy Manager,ProsExcellent quality systemGreat international expertise available,ConsNothing specific in my service period,0,,
1/5/2017,Electronics post-graduate with 4+ years experience in the automotive industry.,3,Current Employee - Senior Engineer,ProsBrand Company that build the technical skill for freshers,ConsCareer Opportunities are very less,0,,
11/4/2017,AGM,5,Current Employee - Assistant General Manager,ProsGreat workplace for individual growth & grooming. One can achieve good growth in his/ her career for working for a considerable time,ConsTo be more assertive & anticipation in terms of current trends. A bit slow to adapt to newer techniques & trends.,0,,
28/3/2017,Great Place to Work,5,Current Employee - Anonymous Employee,ProsGood Opportunities for empmloyees across the globe,ConsNo cons to work wid this comp,0,,
29/3/2017,Network and Business Development,5,Current Employee - Executive-NBD,Pros5 Days Working|Friendly EnvironmentalFlexible Timing,ConsNo Downsides as of now,0,,
27/3/2017,job review,4,Current Employee - Anonymous Employee,Prosgood exposure| good travel| opportunity to grow as an individual by interaction| environment that supports workplace-lifestyle management,Conslimitations to grow as a leader| no structured development programme for individual to become leader| frequent change in leadership leading to change in goals|,0,,
26/2/2017,Employee,4,Former Employee - Manufacturing Engineer,ProsVery friendly and supportive management for the hardworking and sincere employee| good pay scale when compare to other OEM.,ConsVery bad Cab facility and the process change needs a lot of approvals and the changes will be seen after a long time.,0,,
16/2/2017,Global company with systematic process oriented|,4,Former Employee - Anonymous Employee,Pros- work life balance is good- clear process- good for learning- global exposure,Cons- compensation is OK- Long duration for growth in position,0,,
14/2/2017,Processing..,4,Current Employee - Processing and MDM Engineer,ProsWork- life balance is very good| safety is over riding priority.,Consall the processes are completely standardized.,0,,
23/1/2017,Great company to work,5,Former Employee - Manufacturing Engineer,ProsVery good company ethics| good pay| good work life balance and definitely very good company to stay for a long time.,ConsNot much of challenging environment. Implementation of ideas is too slow for such a competitive market.,0,,
5/1/2017,Good Company to work for,4,Current Employee - Senior Engineer,ProsGood Exposure to technical stuffs...Overall global experience,ConsPay and Promotions are not that good...,0,,
3/1/2017,Design Engineer,5,Former Employee - Design Engineer,ProsBest work culture and work life balance,ConsLimited career opportunities and compensation and benefits,0,,
26/12/2016,Not a healthy and balanced working enviorment,3,Current Employee - Assistant Finance Manager,ProsWorld class system and process| with best support team,ConsLack of right persons for right job| they have a typical government organisation culture in some departments.,0,,
6/12/2016,Intern,5,Former Employee - Senior Project Engineer,ProsCooperative people and supportive environment|American Culture of workplace,ConsPressure to perform is immense although it is healthy,0,,
1/12/2016,Good Work Life Balance,4,Current Employee - Senior Engineer,ProsGood Work life balance and a comfortable work place,ConsLots of maintenance projects and no new projects in the pipeline,0,,
24/11/2016,Great work culture,4,Former Employee - Design Engineer,ProsEmpowerment of employeesFlexibility of workFreedom of thought and expression,ConsNo major concerns. Great place to start your career.,0,,
7/12/2016,Mixed experience,3,Current Employee - Capita,ProsVery good platform offered by snr. management and leadership team in guiding and mentoring skills and knowledge to a stronger and motivated approach in professionalism,ConsFew groups of people belonging to the lower hierarchy of office managements are more political than professional; and not open to changes or adapt to new process; this hits the professionalism of those who wants to concentrate on work. Management might need to groom these tenured groups to be more open minded and focus at work| only.,0,,
1/12/2016,Good company,3,Current Employee - Anonymous Employee,ProsGood working culture. Good pay package.,ConsSlow growth. Mostly depend how ur manager.,0,,
13/11/2016,Good,4,Current Employee - Assistant Manager,ProsGood canteen facility and pay,Cons6 days workingwork / life management,0,,
2/11/2016,Best ti work,5,Current Employee - Senior Design Engineer,Proswork life balance| flexi timing,Consprocedural work| depends on which team u work,0,,
22/10/2016,Review,5,Current Employee - Manager,ProsA Good Place to work.,ConsWorking on weekend |travelling too far.,0,,
13/9/2016,It was good experience working under Beena Kothadia(Quality Manager),5,Current Employee - Quality Assurance,ProsExposure to manufacturing & Quality concepts,ConsI am not satisfied with HR Policies.,0,,
5/9/2016,Good learning |Quality work,4,Current Employee - Engineer,ProsGood learningQuality work from USGood environment of workNice global teams interactionCompetitive salary,ConsVery less onsite opportunitiesWork load is not even.Who work good are heavily loaded and some who dont are very less loadedHike % is based on how much u fight not based on performance,0,,
30/8/2016,Great work place,5,Former Employee - Anonymous Employee,ProsVery good tenture at GM,ConsSome times issues with management (individuals),0,,
23/8/2016,Engineer,3,Current Employee - Anonymous Employee,ProsGood work-life balance| more learning opportunities,Consgrowth is saturated| nature of work is very limited,0,,
