 word , count 
work,88
company,64
good,51
great,32
people,31
benefits,26
job,26
pay,25
like,25
GM,24
time,24
balance,23
working,22
get,19
life,18
place,18
many,18
really,18
every,17
They,17
opportunities,17
employees,16
management,16
would,14
environment,14
college,14
The,14
move,14
career,14
much,12
team,12
years,12
one,12
employee,12
make,11
year,11
benefits|,11
hours,11
Not,11
need,11
You,11
new,10
pay|,10
It,10
experience,10
growth,10
've,9
start,9
put,9
IT,9
day,9
know,9
cons,8
manager,8
grow,8
think,8
No,8
hours|,8
hard,8
pretty,8
within,8
go,8
Very,8
lot,8
Some,8
companies,7
room,7
better,7
top,7
ever,7
best,7
worked,7
right,7
way,7
seems,7
trying,7
salary,7
also,7
long,7
well,7
position,7
even,6
give,6
want,6
times,6
got,6
days,6
months,6
level,6
still,6
first,6
There,6
leadership,6
hire,6
Great,6
far,6
large,6
plan,6
due,6
around,6
big,6
projects,6
're,6
nice,6
work/life,6
technical,6
environment|,6
leaders,5
company|,5
amazing,5
weeks,5
Work,5
seen,5
bad,5
work-life,5
change,5
group,5
take,5
slow,5
jobs,5
Motors,5
If,5
lack,5
health,5
learn,5
huge,5
everyone,5
feel,5
culture,5
see,5
years|,5
competitive,5
often,5
innovation,5
anything,5
Long,5
use,5
red,5
could,5
difficult,5
become,5
home,5
schedule,5
software,5
skills,4
never,4
changes,4
employees|,4
office,4
lots,4
things,4
opportunity,4
advancement,4
easy,4
security,4
towards,4
old,4
Benefits|,4
discount,4
managers,4
stuck,4
leave,4
shift,4
market,4
growing,4
interesting,4
offers,4
little,4
future,4
multiple,4
paid,4
actually,4
vacation,4
different,4
week,4
always,4
package,4
starting,4
takes,4
needs,4
short,4
help,4
micro,4
part,4
extremely,4
clear,4
bonus,4
workers,4
location,4
engineering,4
degree,4
process,4
high,4
cutting,4
compensation,4
tape,4
teams,4
decent,4
willing,4
promoted,4
almost,4
lost,4
US,4
'll,4
stay,4
facilities,3
This,3
rewarded,3
laid,3
size,3
grads,3
project,3
seem,3
forced,3
definitely,3
Its,3
retire,3
union,3
commission,3
families,3
NAME,3
complex,3
raises,3
'd,3
cool,3
here|,3
usually,3
flexibility,3
sharing,3
making,3
equality,3
cars,3
care,3
advance,3
training,3
promotion,3
nice|,3
Do,3
performance,3
sure,3
professional,3
senior,3
enough,3
going,3
Large,3
comes,3
technology,3
everyday,3
develop,3
events,3
changing,3
early,3
world,3
internship,3
stand,3
politics,3
students,3
past,3
Too,3
two,3
hour,3
rather,3
hires,3
find,3
money,3
feels,3
with|,3
politics|,3
individual,3
let,3
throughout,3
solid,3
match,3
holidays,3
moving,3
lower,3
edge,3
organization,3
using,3
rotate,3
Management,3
Difficult,3
bankruptcy,3
required,3
centers,3
friendly,3
try,3
others,3
makes,3
next,3
vehicle,3
honestly,3
shut,3
vacation|,3
keep,3
priority,3
able,3
High,3
opportunities|,3
based,3
Good,3
walk,3
