 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,,
21/2/2017,Its just ok,2,Former Employee - Analyst,Proswork life balance and snr,Conseverything else you expect from the job,0,,
29/1/2017,Ford Motor Company - Internal Audit,4,Current Employee - Internal Audit _ 7 Years Exp _ Ford Motor Private Ltd,ProsFord is a excellent place to work. Company is very transparent| flexible and key challenger where I can constantly improve my skills and ability,ConsFord still uses many legacy systems| which are outdated. Also can provide more employee benefits such as meal pass| more transport facility and flexible work hours,0,,
21/1/2017,Great Place to work for.,4,Former Employee - Software Analyst,Pros1. Great Culture of innovation2. Great Leadership,Cons1.Legacy systems2. Slow3. Improper change management and innovation management process,0,,
23/1/2017,good working culture,3,Former Employee - Design and Release Engineer,Prosgood working culture and good salary,Conswork shift and not providing food for corporate people,0,,
17/1/2017,work environment is good,3,Current Employee - Design Engineer,Pros1. The learning curve is very high2. Can Explore more technologies (Mainly for development sector)3. Have lot of opportunity to bring out new ideas4. Excellent team leader and HR team to support both project and employee needs.5. Good work life balance6. Job safet,Consfor ladies they dont give core related works,0,,
30/12/2016,ford motor company,5,Current Employee - Process Coach,Prosthis is the place where you can realize how can you develop yourself for the better world .the one ford behavior tells you that this globe is the only family for you and work for its better future to get the same for you,Consyou have to be ready for time management and join if you feel that you can enjoy the life as a Solder .,0,,
29/11/2016,Awesome organisation,5,Current Employee - Dy Manager,ProsFlexibility| Work life balance| a lot of opportunities to learn and grow horizontally,ConsSlow & Steady| yet simulating the innovation mindset,0,,
27/11/2016,Great Place to work,5,Former Employee - Process Control Engineer,ProsGreat work culture| Open door policy.Visibility to higher management.You can work on things you are passionate about.Great Work Life Balance,ConsI have not found any. But things work kind of slowly| as its a process oriented changes takes time.,0,,
25/11/2016,My review about Ford,5,Former Employee - Associate Product Development Engineer,ProsDiversity is a big plus at this company. If you want to switch to an entirely new department| Ford is probably the only company which will allow and assist you in the transition.,ConsAs far as I am concerned| the extra-curricular activities can be expanded a little. Spend some time concentrating on sports and recreation to keep employees energized.,0,,
25/11/2016,Finance Analyst,4,Current Employee - Financial Analyst,ProsGood Company to work at,ConsHR is very Rigid and has almost authority.,0,,
10/11/2016,Engineer,4,Current Employee - Engineer,ProsPolicies| Leave balance| Career development| Great learnings,ConsWork life balance. Not in all the areas,0,,
2/11/2016,Most of our plant strictly follow the safety rules for employees.,4,Current Employee - Machine Operator,ProsEmployees treat as friendly & Ford give a good pay for hard worker.our products is globe brand model which is having a good quality and performance.,ConsNight shift and too much of time to stay and work hard| sometimes they are blamed instead of what is the real problem.,0,,
2/11/2016,Manager,4,Current Employee - Manager,ProsFriendly environment| good culture| Work-life balance,ConsTravel opportunities and Career growth has its own limitations,0,,
14/11/2016,Overall Good Company to work,3,Current Employee - Anonymous Employee,ProsFlexible work environment. Learning is unlimited,ConsDepends on the reporting manager,0,,
27/10/2016,Ford,5,Former Employee - Anonymous Employee,Proswork life balance| career growth,Consnothing noticed during my employment,0,,
17/10/2016,Best Company in automotive sector to work for,5,Current Employee - Packaging Engineer,Prosbest work practices| good Work life balance and good business ethics,ConsNothing at all to be considered as they give good respect to the employee and treat them like family,0,,
12/10/2016,Great,5,Current Employee - Purchasing,ProsAll Great of the company.,ConsNothing as such. Very good company to work for.,0,,
22/10/2016,Good Company to work with,3,Current Employee - Anonymous Employee,ProsAll goodHigh AppraisalsLess pressureGood compensation,ConsPolitics Incompetent Delivery managersShow Off kind of attitude will work for you,0,,
7/10/2016,Analyst,4,Former Employee - Financial Analyst,ProsGood place to work| Good environment nd very good infrastructure,ConsThey will respect only wen we work .If we are out theyour won't consider at all.,0,,
30/9/2016,Good Company to work,4,Former Employee - Supervisor,ProsThe Pay & Culture is very good,ConsI don't Politics within the company.,0,,
30/9/2016,Amazing workplace| can get better,4,Former Employee - Software Engineer,ProsThe company is amazing and they provide you with a lot of flexibility to move into different departments if you develop your skill set accordingly or show a lot of interest.,ConsNot everyone in the company abides by their values. Majorly because in the global business services many employees are not Ford employees.,0,,
27/9/2016,Great Place to Work !!!,5,Current Employee - Software Analyst,ProsAmazing culture! I love the team atmosphere that surrounds me.,ConsExpecting to move their own new building,0,,
