 word , count 
work,77
company,46
good,27
time,26
benefits,26
great,26
pay,24
life,23
get,23
balance,21
people,20
hours,19
The,19
working,18
lot,18
environment,15
Ford,15
opportunities,15
management,15
employees,14
job,14
long,13
many,13
would,11
place,11
best,11
experience,11
culture,11
career,11
Work,10
much,10
one,10
They,9
It,9
Great,9
hard,9
process,9
Company,9
new,8
little,8
days,8
lots,8
cons,8
family,8
business,8
difficult,8
well,8
Dearborn,8
growth,8
amazing,7
think,7
better,7
Lots,7
learn,7
product,7
There,7
learning,7
within,7
go,7
Not,7
even,6
things,6
make,6
opportunity,6
old,6
way,6
care,6
training,6
benefits|,6
professional,6
different,6
politics,6
lack,6
like,6
Management,6
move,6
No,6
environment|,6
every,5
skills,5
mobility,5
company|,5
bad,5
flexible,5
NAME,5
manufacturing,5
pay|,5
cars,5
enough,5
money,5
world,5
hire,5
Too,5
always,5
really,5
done,5
salary,5
people|,5
development,5
competitive,5
nice,5
schedule,5
high,5
Very,5
employee,5
teams,5
available,5
Good,5
position,5
home,5
excellent,4
want,4
Union,4
yet,4
easy,4
HR,4
managers,4
level,4
team,4
change,4
shift,4
flexibility,4
slow,4
Slow,4
around,4
industry,4
culture|,4
far,4
strong,4
gets,4
depending,4
also,4
nothing,4
sometimes,4
strategy,4
look,4
fun,4
love,4
department,4
friendly,4
Long,4
hourly,4
quality,4
grow,4
compensation,4
need,4
unless,4
Some,4
respect,4
treat,4
salaries,4
overtime,4
compared,4
room,3
give,3
end,3
thing,3
personal,3
moving,3
top,3
said,3
away,3
union,3
air,3
Life,3
marketing,3
balance|,3
pays,3
support,3
global,3
manager,3
innovation,3
cool,3
international,3
extra,3
valued,3
making,3
awesome,3
may,3
stress,3
years,3
advance,3
first,3
city,3
future,3
take,3
paid,3
average,3
vacation,3
engineering,3
develop,3
week,3
If,3
improvement,3
provides,3
communication,3
area,3
training|,3
certain,3
graduate,3
poor,3
building,3
follow,3
program,3
Only,3
design,3
amount,3
takes,3
taken,3
Balance,3
plant,3
hours|,3
ethics,3
systems,3
health,3
management|,3
put,3
People,3
kind,3
plan,3
find,3
Poor,3
pretty,3
understand,3
real,3
levels,3
organization,3
retirement,3
workers,3
customers,3
Difficult,3
fast,3
As,3
issues,3
automotive,3
positions,3
access,3
Career,3
something,3
instead,3
day,3
could,3
times,3
Pay,3
staff,3
lucky,3
processes,3
willing,3
You,3
rewarding,3
pressure,3
software,3
made,3
education,3
campus,3
chance,3
worth,2
risk,2
enjoy,2
told,2
path,2
changes,2
Also,2
negative,2
demanding,2
operations,2
innovative,2
rewarded,2
crew,2
production,2
weeks,2
took,2
project,2
matter,2
well|,2
though,2
meetings,2
approach,2
improve,2
con,2
basis,2
Ca,2
Culture,2
fairly,2
corporate,2
left,2
advancement,2
processes|,2
right,2
deal,2
intern,2
role,2
American,2
Global,2
leave,2
cost,2
current,2
along,2
live,2
car,2
values,2
huge,2
switch,2
stability,2
offers,2
workload,2
entirely,2
challenges,2
year,2
