 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,
5/7/2016," ""Engineering Trainee"" ",5,Former Employee - Engineering Trainee, Pros I was an intern at Honda two wheeler| Gurgaon| India.The work culture promotes professional learning and development. Overall it's a great place to work.Secondly| the Food was awesome. There is a separate section for Japanese people. , Cons Low pay| as an intern.Many Technicians were unhappy because of the pay rate. However| the work experience really helps. It's a place for growth| not for making money. ,0,
18/6/2016," ""engineer"" ",3,Current Employee - Senior Mechanical Engineer, Pros Good work environment in company , Cons Hard to find a problem here :) ,0,
22/5/2016," ""Good work"" ",4,Former Employee - Karnataka, Pros Amazing team members| good location| nice working environment , Cons Mundane work| very little scope for growth ,0,
28/10/2015," ""Excellent Honda Motorcycle & Scooter India Pvt."" ",4,Current Employee - Anonymous Employee, Pros There is the best pay roll comparing to other Motorcycle company and there is the best discipline environment and more much to learn there. , Cons The Pressure of work is some not more there at the time of delivery. ,-1,
23/6/2015," ""for the new enthusiasts"" ",4,Former Employee - Anonymous Employee, Pros it is a good platform company and an opportunity gear to one's career and better management of quality including application of just in time . , Cons long working hours often strikes a blow to the mind | but in the end the bonuses rewarded for the purpose keeps the employees motivated towards their works with full dedication and efficiency. ,-1,
21/6/2015," ""production engineer"" ",4,Current Employee - Anonymous Employee, Pros better service and environment to work with honda , Cons sallery not suitable for surveying a good life ,0,
14/3/2015," ""fine company"" ",3,Former Employee - Executive, Pros stable job| lot to learn| no time wastage| not that much politics , Cons sometime target based profile get hectic by un realistic targets ,0,
18/2/2015," ""was ok"" ",3,Former Employee - Executive, Pros loads to learn about manufacturing , Cons management doesnt support new ideas ,0,
29/10/2014," ""HONDA"" ",5,Current Employee - Senior Executive, Pros lot of money|free lunch|cab facility|low work pressure , Cons nothing to say about really ,-1,
15/8/2014," ""Superb work culture being a Japanese company"" ",4,Current Employee - Executive Engineer, Pros Amazing future plans & growth , Cons Remotely located & NO DISCOUNTS ON THEIR PRODUCTS FOR EMPLOYEES ,0,
1/4/2014," ""Executiv-Sales&Marketing"" ",2,Current Employee - Executive, Pros -Work culture-Free lunch-You can stay there without working(I dont know whether this is a pro or a con) , Cons -Very low salary-Internal office politics-No care for individual in office-No upward opportunities-Pay increases dont even beat inflation ,0,
9/4/2013," ""It was good with professionally & personaly"" ",4,Former Employee - Senior Executive, Pros Work satisfaction and planning is the best features| senior management was also very supportive. it was a good experience working with Honda , Cons there was nothing which we can say as downside it was always pleasure working with Honda ,0,
21/3/2013," ""good| Japanese setup and defined KRA"" ",4,Current Employee - Executive, Pros organised working style|Importance to Documentation , Cons Japanese has supreme authority. Inter-Department working needs to improve. ,0,
21/10/2012," ""producation enggineer at Fuel Tank line"" ",4,Current Employee - Producation, Pros project time is the best period and best learn this time. , Cons no any down point of Honda ,0,
5/10/2012," ""Dreams comes true..."" ",4,Current Employee - Sale & Marketing, Pros Employee friendly| Growth oppotunity| Job rotation , Cons Travelling is much more| Tranfer away from home ,0,
25/6/2012," ""good for freshers"" ",3,Former Employee - Engineer, Pros efficient procedures| nice safety checks. helpful seniors. , Cons workload stress at times. useless meetings. ,0,
10/6/2012," ""Honda 'The Employer'"" ",4,Current Employee - Sales Manager, Pros Systems designed to empower its employee. Work Culture based on Principles of Sharing Joys. Where power is taken| not given. People from all across country| great knowledge sharing. , Cons People development and position right person to right job should be top priority. ,0,
5/6/2012," ""Not so bad"" ",4,Current Employee - Executive - Engine Development, Pros Good Knowledge... Japanese working style is good , Cons Hard Working | late sitting | stressfull job ,0,
9/7/2017," ""Manager Delivery"" ",5,Former Employee - Anonymous Employee, Pros Perfect environment in a stable company , Cons Need more strealined process to become ahead of the curve ,0,
21/5/2017," ""Benefits"" ",5,Former Employee - Anonymous Employee, Pros Good benefits|high package as well as good leaves and benefits.The upper management is so caring and trustworthy .They usually like to help the ones that are need of guidance and motivation in everyday lifeThe company also looks after the touring options for employees |good training to its people as well as great satisfaction working with the Honda Brand , Cons High pressure work environment rest is all ok. A little bit of politics among the top managementThere are times when people have conflict of ideas and suggestions and then the situation gets out of control .Moreover |sometimes there is a small amount of partiality with some employees .Rest is fine ,0,
16/2/2017," ""Working at Honda"" ",5,Current Employee - Anonymous Employee, Pros Good working culture and highly technical atmosphere , Cons 6day working | that's the only cons ,0,
1/12/2016," ""Very good company"" ",4,Former Employee - Anonymous Employee, Pros Very good working atmosphereGood ManagementSalary is good and you will love working here , Cons Sometimes hectic work scheduleVery tough to be selected in this company ,0,
27/7/2016," ""Nice"" ",4,Current Employee - Anonymous Employee, Pros Gud salary| gud work culture and environment..freedom to apply our knowledge and ideas. Would recommend it to everybody. Go for it. , Cons Salary hikes| limited oppurtunities| less chances of growth or we can say slow growth rate..still i would recommend it to everyone. ,0,
14/1/2014," ""very bad"" ",3,Current Employee - Anonymous Employee, Pros to deal with japanese people , Cons good administration but bad application ,0,
13/7/2013," ""Learning experience under lot of Politics"" ",2,Former Employee - Anonymous Employee, Pros Good Learning and lot of exposure. , Cons Could not apply engineering.. just labour job. ,0,
5/7/2017," ""Administrative Assistant"" ",4,Current Employee - Administrative Assistant, Pros This is a challenging field. , Cons The employer is stressed most of the time and there is always a time limit frame. ,0,
29/6/2017," ""Japanese multinational corporation"" ",4,Current Employee - Executive, Pros -Friendly working environment.-Supportive colleagues and supervisor-Learn to set monthly/quarterly/yearly goal through doing P.D.C.A report.-Have to be extra meticulous with details as management is highly sensitive to it. , Cons -Have to set up at least 2 meetings in order to get approval.-Many documents need to fill in manually where management can consider to implement system to save time| cost and environment. ,0,
1/7/2017," ""Pros and Cons"" ",3,Former Employee - Anonymous Employee, Pros - Free food delievered every friday and saturday- great and friendly co-workers- good starting pay- commission earned- discount on vehicle services- holiday parties and awards , Cons - no opportunities for any pay raise- management wasn't the best- more formal dress code- rude customers (All the time)- higher ups tend to pick favorites ,0,
12/6/2017," ""CRM Analyst"" ",5,Current Employee - CRM Analyst, Pros Very friendly co-workers| good work-life balance| good benefits , Cons Big company| takes time to get at a good position ,0,
10/6/2017," ""Review"" ",4,Former Employee - Anonymous Employee, Pros Opportunity to learn best global practices , Cons Work-life balance should be revisited ,0,
22/6/2017," ""Sales Rep"" ",3,Current Employee - Anonymous Employee, Pros Supportive manager| great incentives| benefits after probation| lots of knowledge passed down from other coworkers and managers , Cons winter months are difficult since not too many people buy cars in the winter so meeting quotas is tricky ,0,
23/5/2017," ""Great atmosphere!"" ",5,Current Employee - Filing Clerk, Pros I love the environment and everyone who works there| it really feels like a family! The Honda dealership that I work at truly strives for excellence. , Cons The owner of the dealership I work at hires a lot of high school kids for filing| so there are parts of the room that are a bit disorganized. But other than that| I love it! ,0,
18/5/2017," ""Very friendly and happy happy"" ",5,Current Employee - Anonymous Employee, Pros Good hours and top pay , Cons Nothing really . Every thing good ,0,
1/6/2017," ""Admin"" ",3,Former Employee - Anonymous Employee, Pros Employees were friendly and great to work with , Cons Management was terrible and harsh ,0,
25/5/2017," ""Good Company for learning"" ",3,Current Employee - Anonymous Employee, Pros Good environment for hard workers and Honda is not shy to give you training or resposibilty , Cons Though the work environment is open the business is not very transparent which leads to high turnover of tech talent. ,0,
9/5/2017," ""Financial Services Supervisor Adm."" ",4,Former Employee - Financial Services Supervisor Adm, Pros Freedom to work and create , Cons There is a lot of Bureaucracy ,0,
22/5/2017," ""good for self development"" ",3,Former Employee - Anonymous Employee, Pros Nice working environment and the employees are friendly. , Cons old employees (5 yrs and up) has low compensation ,0,
24/4/2017," ""Great company to work for"" ",5,Former Employee - Marketing Manager, Pros Great team| corporate spirit. Nice office| good package. Allowed me to travel a lot around Europe and Japan. , Cons Closed business in Ukraine due to tough market situation ,0,
19/4/2017," ""Honda"" ",4,Current Employee - Anonymous Employee, Pros Good pay great people. Good overtime , Cons Long hours and weekend hours ,0,
18/4/2017," ""Project Coordinator"" ",4,Current Employee - Anonymous Employee, Pros Job security is very good , Cons Nothing. Very good company ,0,
12/4/2017," ""Intern"" ",5,Former Employee - Anonymous Employee, Pros Great Work Style. Employees care and teach you a lot. , Cons Had to work more than 8 hours/day ,0,
11/4/2017," ""Good benefits"" ",4,Former Employee - Consultant, Pros Good benefits for full time employees , Cons Travel for conultant in marketing ,0,
25/4/2017," ""Nice on the outside"" ",3,Former Employee - Anonymous Employee, Pros Great company benefits with the ability to join a value for money car scheme open to all employees. Great HQ location. , Cons Senior leadership do not follow their own corporate values. Employees are seen as a number and no amount of feedback changes the daily operation. ,0,
7/4/2017," ""good job"" ",5,Current Employee - Rep, Pros there are good benifits herw , Cons pay isnt great at first ,0,
21/4/2017," ""Engineer"" ",3,Former Employee - Engineer, Pros Good working environment| good bonuses| great team work , Cons too much overtime| less holiday| no english ,0,
6/4/2017," ""Decent job"" ",4,Former Employee - BDR, Pros Friendly co-workers| pay| bonuses , Cons No stability with managers| fast paced| high stress environment ,0,
6/4/2017," ""Financial Operations"" ",4,Former Employee - Anonymous Employee, Pros Overall good company culture all around , Cons Sometimes needed to work late which was fine ,0,
25/3/2017," ""Excellent work environment"" ",5,Current Employee - Business Analyst, Pros Salary & Benefits and work environment , Cons Decision making process is too slow ,0,
23/4/2017," ""I had a bad experience"" ",1,Former Employee - Anonymous Employee, Pros Decent amount of pay/ income , Cons The people| management| the degree of labor. The hours put in. ,0,
26/3/2017," ""Engineer intern"" ",3,Former Employee - Anonymous Employee, Pros Great experience. Very helpful training and useful as young engineer. Also willing to move departments easily hr very helpful and nice , Cons Lower pay| poor benefits. Lied about housing situation. Work life balance poor for young engineer trying to make a name ,-1,
8/3/2017," ""Long hours decent health benefits. Pay is good if you sell cars of course."" ",3,Current Employee - Internet Manager, Pros Good pay & bonuses. Dealership where I work is laid back but that varies from dealership to dealer. 401k plan & health insurance is not bad but it is pricey , Cons long work hours no flexibility in scheduling. It will be hard to balance life & work while being at a dealership ,0,
21/2/2017," ""Sales & Leasing Consultant"" ",5,Former Employee - Retail Sales Associate, Pros Management is fantastic. The customers are even better. , Cons Market is over saturated with dealers. ,0,
20/2/2017," ""Very good environment to work in"" ",5,Current Employee - Anonymous Employee, Pros Coworkers are easy to work withCars are easy to sell because of the training , Cons long Saturday hoursnot much cons ,0,
27/2/2017," ""Sales Team"" ",3,Former Employee - Sales Associate, Pros Easy| laid back| flexible schedule , Cons No respect| flaky| no organization ,0,
