 word , count 
work,10
good,6
people,6
environment,6
make,5
The,5
hard,4
place,4
n't,4
hours,3
put,3
many,3
one,3
company,3
's,3
money,2
find,2
Honda,2
easy,2
friendly,2
get,2
know,2
rate,2
growth,2
invoice,2
even,2
Good,2
lots,2
None,2
cars,2
job,2
benefits,2
industry,2
days,2
experience,2
first,2
managers,2
pay|,2
bell,2
There,2
number,2
little,2
working,2
would,2
long,2
much,2
mentality,2
great,2
No,2
individual,2
cons,2
well,2
It,2
To,2
sell,2
product,2
I,2
paid,2
vehicles,2
High,2
things,2
years,1
rotating,1
mistakes,1
inconsistent,1
schdule,1
still,1
ground,1
Mundane,1
slow,1
sometimes,1
college,1
workers,1
opportunities,1
acres,1
better,1
willing,1
promoting,1
meritocracy,1
Hands,1
Not,1
Strong,1
resources,1
Great,1
eventually,1
Training,1
comission,1
far,1
Car,1
rise,1
overall,1
Although|,1
benifts,1
new,1
world,1
terrible,1
becomes,1
cool,1
leads,1
school,1
workload,1
Just,1
skills,1
Extremely,1
shouldnt,1
with|,1
work|,1
team,1
x,1
difficult,1
pressure,1
worldwide,1
Management,1
already,1
draw,1
flexibility-,1
culture,1
Slowly,1
growth..,1
scarce,1
invoice|,1
spirits,1
quality,1
review,1
values|,1
research,1
VERY,1
dealership,1
closed,1
internet,1
Nothing,1
period,1
mesmerize,1
locate,1
full,1
policies,1
degree,1
members|,1
sold,1
learn,1
however,1
stress,1
leadership,1
let,1
making,1
come,1
universally,1
change,1
Theres,1
training,1
Selection,1
profession|,1
anything,1
package,1
career,1
Hard,1
amount,1
succeed,1
due,1
within,1
decent,1
focused,1
Company,1
industry-,1
them|,1
reasons,1
Overall,1
Top,1
self-driven,1
training..,1
But,1
blank,1
turnout,1
pay.Yearly,1
employees|,1
management,1
co-workers,1
Get,1
automobile,1
berating,1
knowing,1
system,1
commission,1
racist,1
low,1
lot,1
Excellent,1
taken,1
scope,1
type,1
experience-,1
flat,1
educated,1
knows,1
mostly,1
wide-,1
salary|,1
vehicle,1
idea,1
employee,1
everywhere,1
excellent,1
Retail,1
logic,1
yelling,1
kind,1
made,1
Old,1
car,1
challenge,1
strict,1
matter,1
values,1
cam,1
aversion,1
promoted,1
meet,1
problem,1
country,1
employees,1
lean|,1
location|,1
want,1
figure,1
give,1
almost,1
awesome,1
year,1
sales,1
Benefits-,1
need,1
politics,1
face,1
something.Challenging,1
par,1
develop,1
pay,1
able,1
consumer,1
also,1
hot,1
concerned,1
changed,1
They,1
income,1
plus,1
Opportunity,1
Payment,1
nice,1
fare,1
yourself|,1
sure,1
time,1
Product,1
Lying,1
running,1
moving,1
up-,1
Every,1
changing,1
blaming,1
grow,1
structure,1
man,1
salary,1
lower,1
illegally,1
Knowledgeable,1
Some,1
mentors,1
together,1
possesses,1
without,1
Point,1
Have,1
ignorant,1
starting,1
travel,1
If,1
