 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,
8/4/2012," ""Very poor work ethics.More politics and work"" ",2,Former Employee - Anonymous Employee, Pros Good Pay scale and Benefits. , Cons Worst Layoff policy.Extremly poor work ethics.Penny wise and Pound foolish Japanese Management. ,-2,
14/9/2011," ""Neutral"" ",3,Current Employee - Manager, Pros Globally Branded company| possible to get chance work with innovative project , Cons No firm system & company policy available ,0,
18/8/2010," ""good cad work"" ",4,Current Employee - Design Engineer, Pros multi culturalintensive researchthe kind of work is done in india nissan R & D is mainly based on the clearance check and feed back sheet preparation in digital phase. , Cons we are not getting complete exposure to end to end manufacturing of parts of carHR policies are not employee oriented ,0,
24/5/2017," ""Work Life @ Nissan"" ",3,Current Employee - ASM, Pros Exposure to work & freedom to express your thoughts , Cons Lack of concrete policies @ ground level ,0,
8/3/2016," ""Legal Affairs Intern(Procurement)"" ",3,Former Employee - Anonymous Employee, Pros The office is good. lunch is available at a subsidised rate hence easy on the pocket for interns. , Cons Very difficult to convert an internship into a permanent job. ,0,
27/6/2017," ""Great place to work"" ",5,Current Employee - Engineer, Pros Great benefits package| tremendous deal on employee lease program| competitive pay| ability to advance. , Cons Work life balance isn't as important. ,0,
26/6/2017," ""Sales assistant"" ",4,Former Employee - Anonymous Employee, Pros Free coffee| good hours| nice workplace| friendly co workers| generally a very good company to work for. Would recommend to anyone. , Cons Computer systems had the occasional poor performance| apart from this the overall experience working for Nissan was positive. Would recommend employment. ,0,
20/6/2017," ""Good place to work"" ",4,Former Employee - Anonymous Employee, Pros Great team spirit| readiness to help from the team.Competittive salary.Possibilities to gain training , Cons Sunderplant plant environment. location is quite distant ,0,
29/6/2017," ""Conditions are bad but job is great"" ",3,Current Employee - Financial Director, Pros Money and Freedom to do whatever you want while you are working , Cons Stress is ridiculous to endure and flexibilty on scheduling needs you to be there almost all the time ,0,
12/6/2017," ""Tiffany Steen"" ",5,Current Employee - Quality Team, Pros Ready to work at your pace. Great communicator| work well with others| and never afraid to ask questions. , Cons I may overlook things because I may feel rushed at times. ,0,
26/6/2017," ""Test Engineer"" ",3,Current Employee - Test Engineer, Pros Big and reliable company| with business all around the world. , Cons There is few chance for fast promotion in this kind of big company. ,0,
8/6/2017," ""Maintenance and Innovation Engineer"" ",4,Current Employee - Maintenance and Innovation Engineer, Pros flexibility in communication which make the work environment is very good to work in itrespective in the organization levels , Cons salary structure comparing with the multinational competitive company which it is very good for the entry level but the slope in the salary increase is low ,0,
1/6/2017," ""Good place to work"" ",4,Former Employee - Anonymous Employee, Pros Freedom to direct decisionOpen management , Cons Short term focusVery reactive ,0,
24/5/2017," ""I liked working at Nissan."" ",5,Former Employee - Trainee, Pros I worked as a trainee at Nissan during my undergraduate studies. I have learnt a lot and appreciate the experience I gained at Nissan. There is a lot of trainee positions for students as well as for graduates. I really enjoyed working at Nissan| I have met some great people there. Great culture| amazing team buildings| good atmosphere at work. , Cons Sometimes I had a feeling that some coworkers did not understand the term of trainee| I tried to explain that I can do more tasks but I need to now how. They were too busy to explain| even though it could have saved much of their time in long run. ,0,
5/6/2017," ""Relatively good environment in Japanese company"" ",3,Current Employee - Business Development, Pros Hiring opend for foreigner(Non-Japanese)| relatively good environment in Japanese company. , Cons Low salaries| even though longtime working (Most of Japanese companies tend to ask their employee work overtime| 2-3 hours/day are common thing). ,0,
4/6/2017," ""It's ok"" ",3,Current Employee - Anonymous Employee, Pros They have lots of work and some benefits they can treat you good at time great co workers management is ok , Cons They benefits suck management can be rude for no reason they through you into positions and don't give you enough time to learn ,0,
13/5/2017," ""Brand Manager"" ",5,Former Employee - Brand Manager, Pros international company| marketing campaigns| result-oriented , Cons high prices| career growth possibilites ,0,
26/5/2017," ""Lack of progression"" ",3,Current Employee - Anonymous Employee, Pros Great perks and benefits| some nice people working there , Cons Lack of succession planning| dated software| long hours ,0,
11/5/2017," ""Great Place| Lots of hours"" ",4,Current Employee - Anonymous Employee, Pros Good Perks| Good Pay overall , Cons Micromanagement and work/life balance ,0,
25/5/2017," ""Porter"" ",3,Former Employee - Anonymous Employee, Pros Experience. Get to help others. , Cons Pay is not good at all. ,0,
5/6/2017," ""It help desk"" ",1,Former Employee - Anonymous Employee, Pros fun place to work with group3 , Cons not hiring at any time ,0,
4/6/2017," ""Consumer Credit Analyst"" ",1,Former Employee - Consumer Credit Analyst, Pros Great benefits at a low cost| good employee leasing program| wonderful associates to work with| sufficient bonus structure , Cons No work life balance| poor management job of developing employees| good ole boys network| management does not care about employees- so far as trashing employees in earshot of others andx find it funny if can pick up enough paper trail to fire someone| very nitpicky| would go so far as to say one female manager will not promote if her staff does not look like her. ,0,
7/5/2017," ""Great brand easy to sell"" ",3,Current Employee - Anonymous Employee, Pros Laid back company. Great tech. , Cons Lack of bonus structure.Competitors too close ,0,
7/5/2017," ""Sales executive"" ",2,Current Employee - Sales Executive, Pros Not many at all. Company is slowly falling apart , Cons No real structure. You really feel like you are working for yourself ,0,
6/5/2017," ""It is up to your manager"" ",3,Former Employee - Process Engineer, Pros Good Pay and benefit | Employee lease is great , Cons If you have a bad manager | you are pretty much in hell ,0,
21/4/2017," ""Process Engineer BIW"" ",4,Current Employee - Mechanical Engineer, Pros Good opportunity for growth and professional development. Great teamwork. , Cons Too demnding| lack of social life outside of work. Stressful. ,0,
3/5/2017," ""Nissan Brazil"" ",3,Current Employee - Junior Buyer, Pros Good structure to work and opportunities to development , Cons Very poor systems and process. Alliance with Renault doesn't work well. ,0,
15/4/2017," ""Market leader (but with a lot of to learn)"" ",4,Current Employee - Senior Manager, Pros Relationships are important| you can have a 'safe' environment. , Cons Poor high profile jobs decisions| potential nor capacity are important to grow. ,0,
16/4/2017," ""Senior Analyst"" ",4,Current Employee - Anonymous Employee, Pros multinational| working with professional people in the automotive industry , Cons the system is too redundant ,0,
11/4/2017," ""Production Technician"" ",5,Current Employee - Production Technician, Pros I really enjoy what I do and I plan to grow professionally within the company| if they will have me. , Cons I have no down side from working at Nissan. ,0,
26/4/2017," ""energetic"" ",3,Current Employee - H R Business Partner, Pros very energetic company. flexible processes and international mobility. The environment is very result oriented and driven by strong kpi and proud to be in the one of the best automotive company , Cons somehow can be seen as messy and hierarchica. Salaries are not so high. can be seen as political with the fear of the management impact ,0,
10/4/2017," ""Sr Dealer Operations Manager"" ",4,Current Employee - Anonymous Employee, Pros New cars every 6 months| flexibility| quarterly and annual bonus , Cons Constant pressure with unrealistic objectives ,0,
8/4/2017," ""Excellent experience"" ",4,Current Employee - Trainee, Pros Nice company| relaxed environment| you learn a lot being pro-active| no pressuring dead-line , Cons nobody tell you how to do tasks| you should figure everything out on your own ,0,
19/4/2017," ""Lack of Role Development"" ",2,Former Employee - Anonymous Employee, Pros Good benefits (you do get a vehicle for cheap).Salary is not bad at all.Great new offices with nice amenities and good location , Cons Lack of role description and development so sometimes it can be a little bit frustrating.Lack of training and clear career vision other than being moved to a different role. ,0,
8/5/2017," ""Nissan has become a sweat shop"" ",1,Former Employee - Maintenance Technician, Pros Nissan was a very good company to work for 10-15 yrs ago. ," Cons The management is ""good old boy"" network filled with uneducated adult children. The health care benefits have been reduced to a sad joke. Huge increase in use of ""temp"" employees. ",-1,
26/3/2017," ""Pros and Cons of Working for Nissan"" ",3,Current Employee - Anonymous Employee, Pros Exciting to work in automotive industry. , Cons Evening calls with Japan| long hours| high workload ,0,
7/3/2017," ""Nissan - good company| good career outlook"" ",5,Current Employee - Anonymous Employee, Pros Great company to work for plenty of perks and job security. Two-week shutdown in July perfect time of year to take a vacation. , Cons Can have long hours but it's OT so... ,0,
20/3/2017," ""Nissan Motor Company Ltd."" ",3,Current Employee - Senior Associate, Pros Global dynamic company with many opportunities for talented people. Unique chance to fundamentally change career and jump into a completely new area. , Cons Promotion is not fast| too much process-oriented| too much of Japanese heritage (mindset| language barriers| process)| location of technical centre is just disastrous ,0,
4/3/2017," ""Finance Manager - Profitability and Control"" ",5,Current Employee - Anonymous Employee, Pros Enriching| value creation| focus in the customer| measure of success is profit , Cons Compensation & Benefits| leadership team needs improvement| limited work life bal ,0,
3/3/2017," ""Reat"" ",4,Current Employee - Sales Consultant, Pros Nice dealer and nice location , Cons Very micromanage| no on floor training and later on you are blamed ,0,
11/3/2017," ""Good school"" ",3,Former Employee - Engineer, Pros A lot of things to learnGood benefitsSome great bossesFrugal thinkingGreat Japanese cultureKaizen is a must , Cons No trainingLack of managementNo budgetNo promotionsPromotions based in relation with your bossNot balance life vs work ,0,
10/3/2017," ""Meh"" ",2,Former Employee - Anonymous Employee, Pros Loved the comradery of the people , Cons Management leaves a lot to be desired ,0,
21/2/2017," ""Insite as Salary employee"" ",4,Current Employee - Anonymous Employee, Pros Experience| exposure| focus| teamwork| global , Cons Long hours and not flexible with occasionally working from home. ,0,
