 word , count 
work,12
company,7
management,7
pay,7
people,6
great,5
employees,5
good,5
new,5
get,5
much,5
international,4
hours,4
working,4
engineer,4
paid,4
The,4
bad,4
life,4
balance,4
go,3
automotive,3
every,3
car,3
ideas,3
different,3
Japanese,3
office,3
since,3
Nissan,3
benefits,3
place,3
service,3
lots,3
job,3
career,3
due,3
desk,3
business,3
would,3
long,3
lot,3
're,3
'',3
department,3
limited,2
leads,2
opportunities,2
environment,2
even,2
budgets,2
meet,2
products,2
implement,2
highly,2
Europe,2
learn,2
process,2
needs,2
Everyone,2
interesting,2
endless,2
lunch,2
term,2
really,2
internet,2
This,2
Sometimes,2
possibility,2
onsite,2
days,2
thing,2
compensation,2
unfit,2
seen,2
nothing,2
Work,2
knowledge,2
shared,2
areas,2
Short,2
said,2
Design,2
comes,2
environment|,2
cons,2
ready,2
difficult,2
If,2
less,2
money,2
internal,2
early,2
like,2
everything,2
rewarding,2
dealership,2
assembly,2
Place,2
No,2
overtime,2
for|,2
flow,2
check,2
exposure,2
industry|,2
lack,1
swiming|,1
decisions,1
providedLeadership,1
Not,1
teaching,1
staffing,1
holidays|,1
global,1
suceed.The,1
affect,1
minute,1
look,1
Less,1
companies,1
standards,1
try,1
workload|,1
team,1
teh,1
Long,1
past,1
messy,1
strees,1
expansionCareer,1
run,1
giving,1
current,1
unskilled/qualified,1
supplier,1
body,1
toes,1
motivatedDynamic,1
ladder,1
never,1
path,1
change,1
mindset,1
dusty,1
shift,1
allows,1
experience,1
Hierarchical|,1
NOT,1
Home,1
changes,1
options,1
patents,1
genuinely,1
Average,1
see,1
extra,1
Top,1
hard|,1
Too,1
motor,1
Paris|,1
market,1
crap,1
&,1
stated,1
chooses,1
compulsory|,1
call,1
recommend,1
injury,1
sharing,1
door,1
salary|,1
mismatch,1
company|,1
everywhere,1
basically,1
happenInformation,1
known,1
computer|,1
oriented|,1
women,1
town,1
rotational,1
room,1
hour,1
self-learner|,1
environmentTop,1
making,1
male,1
proof,1
products|,1
challenging,1
VPs,1
activities,1
high,1
SINGLE,1
sense,1
turn,1
rather,1
comfort,1
Zero,1
ONE,1
shareBusiness,1
high|,1
place.Still,1
carreer,1
tries,1
help/support,1
data,1
grow,1
stress,1
silos,1
playing,1
turnover,1
videogames|,1
six,1
open-minded|,1
Provided,1
move,1
years,1
it|,1
little|,1
style,1
solving,1
offers,1
choose,1
weeks,1
Car,1
unemployed,1
Loses,1
Bad,1
interrupt,1
realize,1
structural,1
Lap-Tops,1
workload,1
always,1
drop,1
backgrounds,1
