 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,
14/7/2012," ""More of Management less of Technical job"" ",3,Current Employee - Production Engineer, Pros Good Salary| optimum Job Security| Good place to learn management skills| Chance to learn TOYOTA way of Production. , Cons Very intensive job| Saturday's you have to work| if somebody is looking for a technical job dont ever consider working for TOYOTA ,-1,
10/6/2012," ""Decide very carefully when it comes to Toyota-India"""" ",2,Current Employee - Senior Officer, Pros 1. Pays well2. Process Oriented company3. No pressure in terms of target achievement4. Defined roles , Cons 1. Slow decision making2. No clear process of rating performance & appraisals3. Beuracracy4. Slow growth5. High level of intereference from superiors6. Poor learning curve7. Low level of respect for employees8. lack of leadership & vision ,-1,
5/12/2011," ""good place to learn | but difficult to manage personal and professional life"" ",3,Former Employee - Senior Engineer, Pros very good place to learn production systems and you can not only learn only about professionl things | you can also implement it in your personal life as well. , Cons working under pressure always and difficult to manage perosnal life. ,0,
8/5/2017," ""Mechanical Engineer Intern"" ",5,Former Employee - Anonymous Employee, Pros Amazing people| food and safety. Its amazing company and they take care about safety really well. Keep it up. , Cons Actually there is nothing con about TKM. Its amazing company and they take care about safety really well. Keep it up. ,0,
27/10/2014," ""As unprofessional as can be.."" ",2,Former Employee - Anonymous Employee, Pros Toyota as a brand is huge| so if you're looking only at brand value and zero growth learning-wise & career-wise| go for it. , Cons Low Compensation|Company values are pathetic|The work culture is all pretense and less output|Some department heads are not fit to be in the position. ,-3,
19/3/2014," ""About TFS"" ",3,Current Employee - Anonymous Employee, Pros Good to work| Great Opportunity to grow , Cons Career growth is slow but you will learn ,0,
3/7/2017," ""Excellent"" ",4,Former Employee - Anonymous Employee, Pros Excellent place to work | great culture , Cons Nothing to say any pros about this company. ,0,
6/7/2017," ""Not good for people with high expectation"" ",3,Former Employee - Sales Representative, Pros It is very hard to get promotion with limited work experience , Cons The bonus is quiet good| usually you can get 6-8 month salary| and not too many overtime works ,0,
17/6/2017," ""Unbeatable Benefits"" ",4,Current Employee - Production Engineer, Pros Collaborative| fast-paced environment| competitive salary| great benefits| vehicle lease/purchase discount| reimbursement for relocation/travel| performance bonuses , Cons Some negative attitude about management| resistance to change in some areas| overtime and holiday work is expected and necessary ,0,
15/6/2017," ""TCI IT"" ",4,Former Employee - Anonymous Employee, Pros Was a great place to work and investing in new technology top support the business strategy. , Cons Business did not always see the benefit of a long-term technology roadmap. ,0,
29/6/2017," ""Marketing coordinator"" ",2,Former Employee - Anonymous Employee, Pros Lots of traveling around the country , Cons Too much red tape to get work approvedlimited growth opportunity ,0,
