 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,
10/6/2014,Good to learn as beginner but not a pay master!,3,Current Employee - Manager QA,ProsBiggest brand name in Auto industry,ConsAlmost everything is alright but not a pay master.,0,
22/2/2014,good company| needs transformation,3,Current Employee - Volkswagen India,Prosgood work culture| friendly people around| robust systems and processes,Consexcessive hours| takes 2 years to promote people after they join according to policy| food sucks,0,
18/1/2014,Great automobile company |great brands of cars,3,Current Employee - Manager,ProsOne of the few manufacturing companies having 5 days working.Great systems. Well connected to all the VW plants in the world.,ConsLack of focus from HQ.Currently no new projects.No coordination between departments .,0,
10/10/2013,Volkswagen is good brand & multinational company,3,Former Employee - Accounts Assistant,ProsSalary is the best part of reason from Volkswagen,ConsManagement is the main problem to employees,0,
9/5/2013,Systematic works,5,Former Employee - Manager,ProsFuture Good company for existing employee irrespective of profit of organisation,Consto be refines of indian law's with group co.,0,
2/3/2013,best place of work and growth,4,Current Employee - Spare Parts In Charge,Prosbest place of work and growth,Conssalary not according to work,0,
29/1/2013,love the company love the brand,4,Current Employee - CRM,ProsThis Company has definitely enhance my skills.,ConsYes there are some defects in this area as a person in my designation should get some appreciation.,0,
21/1/2013,job satisfaction,4,Current Employee - Sales Consultant,Prosproviding good training | structure of the top level management| giving performance appraisals for the internal motivation to give optimum output| and healthy environment.,Consworking timings in sales and providing canteen| consider missallanieous expenses.,0,
7/11/2012,german dealership who ngives a wide range of automotives for all people,5,Former Employee - Customer Service Coordinator Cum Warranty Administrator,Prosgood process| quick response.technical assistance any where any time.good working environment.friendly both to customers and dealers.excellent warranty administration.giving training and updation at correct time.,Consnothing about to say about it. its only need to upgrade the salary structure.,0,
13/10/2012,2 years,5,Current Employee - Spares Parts Assistant Manager,Prosnice batter compney in india.,Consit<s good this compney is best of india................,0,
16/10/2012,Good,5,Current Employee - Customer Relationship Executive,ProsGood pickup and driving smoothly,ConsThere is some manufacturing defect on the car,0,
13/10/2012,I learn so many things working with Volkswagen,4,Current Employee - Service Manager,ProsGerman Company and Worldwide Brand,ConsNothing to describe for Volkswagen,0,
12/11/2012,bad rules and policies.,1,Current Employee - Accounts,Prosno pros to tell about this co.,Consunhealthy and unsatisfied atmosphere| no support of management| negative response management| salary is very low| late night work and no overtime is given and many more....,0,
28/9/2012,I love to work at volkswagen india,3,Current Employee - Car Sales,ProsInteraction with Corporate people and new customers,Consworking shift even in sunday also,0,
8/9/2012,Good for Learning,4,Current Employee - Manager,ProsGood culture|good co. to learn|good HR policy and 5 days working.good international exposure.,ConsWrong people at some critical position.Some people are inexperienced to handle those position.Take time to deal with HQ in Wolfsburg.,0,
10/9/2012,Iam very Fond Of working in Volkswagen,3,Current Employee - Store In Charge,ProsGood Infrastructured And Designed Module Of working Sense,ConsNo experience in this field.. sorry for this,0,
5/8/2012,a mix of satisfaction and dissatisfaction,3,Current Employee - Asstt Manager,ProsSimply because |The Brand name.,ConsThe working culture | and few WEAK Policies,0,
2/8/2012,For those who love challenges...,3,Current Employee - Manager, Corporate Purchasing,Pros- New challenges every day- Independent responsibility and authority,Cons- Slow decisions by middle mgt,0
30/7/2012,till date its nice work with this Org.with some good colleagues.,3,Current Employee - HR-Executive,ProsIts good to work with this org as they are green field project and one of the wolds best automobile group,ConsStill there is need of good management|communication between German and india mgt.,0,
11/6/2012,VW,4,Current Employee - Officer,ProsCompany is viewed good by the friends and relatives,ConsA lot of processes are not stable or not established,0,
29/12/2011,I find it very intimidating !!!!,3,Current Employee - Anonymous Employee,ProsThe job is good and well paid. I find it pretty challenging while working with this group.This one is pretty good than my previous recruiters !!!,ConsDo not join the group if you want to suffer !!!!! :DSeriously not working here is a major con!!Overall above satisfactory ......,-1,
22/1/2017,Great Place to work,4,Former Employee - Anonymous Employee,ProsThis has been the Best time spent in the best Company,ConsNothing I can make out .. simply perfect,0,
8/6/2017,Good place to learn but not earn,3,Former Employee - Anonymous Employee,ProsGood culture. SOP and systems in place. Good opportunity to work with cross functional teams.Good transport and food service,ConsSlow growth opportunities. Lack of good projects. No go ahead without approval from VW AG; this slows down the process. Lack of innovative ideas and thinking,0,
7/12/2016,Brilliant Exposure,5,Current Employee - Anonymous Employee,ProsOne of the worlds largest company to work for. Great work atmosphere. Good pay.,ConsNothing as such to mention.,0,
14/9/2016,VW,4,Current Employee - Anonymous Employee,ProsGood work environment. Respect fr people.,ConsSlow decision making by mgmt.,0,
28/7/2016,Volkswagen,4,Current Employee - Anonymous Employee,Pros- Good Company- People are helpful & ready to share information,Cons- politics at management & HOD level,-1,
21/5/2016,Manager/Scrum Master,5,Current Employee - Anonymous Employee,ProsIts good for experinced resources,Consot good for freshers| less experienced,0,
27/4/2016,Good Exposure,4,Current Employee - Anonymous Employee,ProsGood Projects to work|Approachable management,ConsOffice timings |No other cons,0,
20/2/2016,Good Place to work,4,Current Employee - Anonymous Employee,ProsPerfect MNC culture| good growth| Good salary,Conswork Pressure| Deadlines| Flexible timing,0,
17/11/2015,Work culture,4,Current Employee - Anonymous Employee,Prosgood work culture and work life balance,ConsNo parallel growth | Senior Management close group,0,
