CarName,year,date,qtr,Vader Sentiment,Normal rating,review,,,,
Fiat Motor Corp,2012,08/02/2012,Q1 2012,0,4.5,Some parts of the interior seem cheap - plastic bolt under glove box has popped out leaving the upholstery flapping gear shift ring broke etc. Outside the paint is peeling on the strip between the sunroof and front windshield. The worst issue is the clutch dying suddenly at 28000 miles (no slipping no burning clutch smell to warn you it just worked and then it didn't in my case in the middle of an intersection.) I've driven stick all my life and never run through a clutch that quickly. Peruse the forums and reviews for the 2012 FIAT 500 Manual Transmission and you'll see I'm not alone. No help from the dealership either.,,,,
Fiat Motor Corp,2012,01/03/2012,Q1 2012,-0.8454,3.125, I bought my new 2012 Fiat 500 Pop on 12/22/2011.,,,,
Fiat Motor Corp,2012,05/03/2012,Q1 2012,0,4," I also have had ""issues"" with my Fiat.",,,,
Fiat Motor Corp,2012,26/01/2015,Q1 2012,0,3,Not explanable nor able to recreate.,,,,
Fiat Motor Corp,2012,12/03/2015,Q1 2012,0,4,Right now I cant think of any.,,,,
Fiat Motor Corp,2012,13/01/2016,Q1 2012,0,3,"Concerned with an event.. ""slipping into drive"" while idling.",,,,
Fiat Motor Corp,2012,24/01/2016,Q1 2012,0,3,That day I noticed electrical problems and that the leak wasn't repaired. Returned it to the shop More open body seams were found around the windshield. I requested a replacement. Fiat agreed. The dealership acquired my replacement on 02/10/2012 but has yet to get it to me (03/01). My Fiat Case Manager is Kathy Nelson but I have no way to contact her. I regret my purchase.,,,,
Fiat Motor Corp,2012,30/04/2011,Q2 2012,-0.8176,5, My first impression was to laugh at this car it was tiny and looked 'different'.,,,,
Fiat Motor Corp,2012,24/04/2013,Q2 2012,0.6705,4,"Three days after purchase I noticed an interior water leak and returned the car to the dealer. The dealer found that the cause of the leaks were ""body seams that were left open unwelded and unpainted during manufacture.""",,,,
Fiat Motor Corp,2012,08/04/2015,Q2 2012,-0.34,3.25, I want to love this car but one of the main reasons I bought it was for its afFord Motor Corpability and I haven't even had it 2 years and I'm already paying 10% of the original cost in repairs! I bought it one year used with 11000 miles on it. It's now 28000 at miles and it's had problems with everything from cosmetic issues like peeling paint to an air bag sensor failure to a very serious no-warning clutch failure (which was not covered under warranty after 15000 miles). The clutch replacement at a FIAT dealer has taken 10 days so far and is costing a small fortune. It's a fun car but just not holding up! I always drove a Subaru or Toyota Motor Corp before and I think it may be time to go back. ,,,,
Fiat Motor Corp,2012,08/04/2015,Q2 2012,-0.3661,2.75,AfFord Motor Corpable (assuming you don't need repairs that aren't covered by the warranty) cute good gas mileage handles well given the small engine (struggles a little on hills) makes parking easy back seat folds down easily to carry a decent amount of cargo. ,,,,
Fiat Motor Corp,2012,14/04/2015,Q2 2012,0.9062,2.5, Got the car back after 23 days in the shop.,,,,
Fiat Motor Corp,2012,07/07/2015,Q3 2012,0,3.125,It's 101hp so your not going to win any drag races... but you can throw this car into any corner on ramp or off ramp almost at any speed and it will just go exactly where you point it!,,,,
