year,date,qtr,Vader Sentiment,Normal rating,Normal rating,review,,,
1990,26-02-2002,1,0,2.25,teenagers,,,,
1990,21-03-2002,1,0,4.5, It;s been graet for the family very roomy inside and it's lasted sucha  long time My parents bought it when I was a kid now I'm driving it to college,,,,
1990,04-01-2003,1,0,4.5,advice do not buy for a first car for ,,,,
1990,06-01-2003,1,0,4,transmition problems,,,,
1990,07-02-2003,1,-0.4019,4.375,cant find out what it is,,,,
1990,12-02-2003,1,0,2.25, stalls often,,,,
1990,15-01-2005,1,0,3.625,friend at my church and invested very ,,,,
1990,01-03-2016,1,0.4939,5, It's fast!,,,,
1990,09-04-2002,2,0,4.875,leak($600)and transmission acts funny.,,,,
1990,13-04-2002,2,0.4404,3.375,pump($350) 4 altnators($500) heater ,,,,
1990,18-04-2002,2,0,1.875, This car with 60000 miles has had water ,,,,
1990,19-06-2002,2,0,3.375,great. A year later I was in a weather ,,,,
1990,23-06-2002,2,0.6249,4.375, I got my ford a a great price from a ,,,,
1990,25-05-2003,2,0.6249,5, Back in 1990 the Taurus was perhaps ,,,,
1990,07-07-2003,3,0,3.625,Lots of room insde great on gas I drive at least 60 miles a day and it's been a life saver,,,,
1990,06-07-2004,3,0.6249,3.125,little money into it. Never had ,,,,
1990,11-07-2004,3,0,4.25,"the best in the ""family car"" class.  I ",,,,
1990,14-12-2003,4,0.6369,3.125,anything major go on it. It handels ,,,,
1991,27-02-2002,1,0,2.5,well car parked outside mostly.,,,,
1991,11-03-2002,1,0.2732,3.875, this is an update to the 91 taurus. my daughter has driven the car for 11000 miles in ten months.  it still starts up with no problems.  on weekend in feb 2017 she parked the taurus over night in seal beach ca.  someone had placed a note on the windshield noting if i ever want to sell the car to contact him a prospect buyer.  the 91 taurus  is well kept with a mirror like paint finish and does attract attention for the classic car enthusiasts.  the taurus is about the same size as a 2017 nissan sentra.  with the exception of the 700 lb weight difference on the 91 taurus which by the way is garaged most of the time.,,,,
1991,10-02-2003,1,0.7269,4.375,Interior and exterior have held up ,,,,
1991,17-02-2003,1,0,4.25,car and has many nice luxury features. ,,,,
1991,24-03-2003,1,0.4215,4.75,Loved the roomy interior and the way it handled,,,,
1991,05-01-2004,1,0.5994,5, I own one and it drives very well.,,,,
1991,12-03-2004,1,0.3384,4.75,Nothing.,,,,
1991,20-03-2004,1,0,3.875, It seems like everything that could have gone wrong on this car did. I replaced the oil pump the first week I owned the car. The transmission needed a rebuild the engine had constant problems and even the front tie rods were falling apart. After $5000 it still didn't run and I gave up and ditched it. They are throw away cars and avoid them.,,,,
1991,03-01-2005,1,-0.7269,4.375,Scrap it and buy something reliable.,,,,
1991,28-05-2003,2,0,1.5, This engine is the worse vehicle on the road.  Right now it is setting in the yard with a blowed head.  Or cracked block or both.  I do not recommend this for a used vehicle and of course ford did nothing about it.  The A/C and brakes are not any good.  I replaced brakes every 6 months.  And the a/c once it stopped working never worked correctly again.,,,,
1991,25-06-2005,2,-0.8864,4.5, Bought it at 99000 miles.  Since then I've put 81000 miles on it over 6 years.  While some of my friends have spent over $50000 to get new vehicles two or three times over the past six years and dealt with major mechanical problems on these new vehicles I've only had to replace the water pump and pay for regular maintenance on the Taurus that cost only a fraction of their vehicles.,,,,
1991,04-04-2016,2,0,4,None.,,,,
1991,19-07-2003,3,0,3.5,Great power all aluminum yamaha engine.Runs so cold it will last a long time. Keeps up with todays cars great looksexellent handling and pick up I love it. ,,,,
1991,05-08-2003,3,0.9246,3.5, Overall this is is a very comfortable ,,,,
1991,04-08-2005,3,0.5563,1.375,Sound system... that's about it.,,,,
1991,13-08-2005,3,0,4.875,All,,,,
1991,27-11-2002,4,0,4.625,,,,,
1991,20-11-2003,4,0,5, My brother bought his Ford Taurus SHO brand new in 1991.Since my brother is serving in the military between the Iraq war and his new duty station in Japan force him to give the SHO  keys to me.Our experience with this car is the best ever not toyota or honda can come close to it.Regular maintance was most of the expenses.Right now our SHO has 160000 miles and feels like new.At 140000 new clutchwater pumpbrakesfuel pumphigh performance exaust alternator timing belt tires paint job tuned up front bearings and oil changes. All this maintenance is regular for any type of car including imports. My final words excellent car built tough to last until 300000 or more.,,,,
1991,22-12-2003,4,0.7184,4,none,,,,
1991,11-10-2006,4,0,2.125, This car is basically a money pit. I'd be better off financially by throwing my wages into the fireplace.  Everything on this car has broken. The transmission is appalling. This car is disgustingly unreliable.  I would not buy another Ford product.  In fact I wouldn't even take one for free.,,,,
1992,05-03-2002,1,-0.5106,4.625, How Ford follows up on all recalls and campaigns that are in efect for their vehicles!!,,,,
1992,07-03-2002,1,0,2.625,comfortable just not while driving,,,,
1992,02-01-2004,1,0.5106,4.5,Wish it was more reliable.,,,,
1992,23-04-2003,2,0.4019,4.125,longer lasting brake system gas mileage,,,,
1992,28-05-2003,2,0,3.75,Trouble with 3.8L head gaskets and transmission. Otherwise great.,,,,
1992,31-05-2003,2,0.34,4.75,Power and comfort.,,,,
1992,04-05-2008,2,0.3612,4.25, All in all i like this car. It's extremly comfertable but not very reliable. I just bought it nine months ago so obviously its old but sometimes i feel like its broken more then its running. On the plus side I enjoy driving it. I feel very safe in it and the visibility when driving is great.,,,,
1992,28-09-2002,3,0.9441,4.75,Bench-style from seats decent on gas fun to drive,,,,
1992,12-09-2005,3,0.5106,4.375,Comfy seats.,,,,
1992,06-08-2009,3,0,2.75, While still put in the ranks of ,,,,
1992,03-08-2010,3,0,3.625,"a ""Taurus"" for far too many ",,,,
1992,08-09-2010,3,0,4.5,Everything breaks! It's always something with this car,,,,
1992,25-10-2002,4,0,3.5, Quality car for the price.,,,,
1992,20-12-2003,4,0,5,Radio controls on the dash storage compartment in trunk incredibly roomy and comfortable!,,,,
1992,23-12-2003,4,0.5935,4.5, I got a great deal on mine since my brother is a car salesman. I paid $1000 for it with only 63000 miles on it! Although the a/c never worked I love this car. Built like a tank. The only problems I experienced were an radiator leak electrical issues and a hole in the exhaust (regular wear). I had mechanic friends so repairs were cheap for me. I recently fell victim to 2 accidents in 2 months. Both times I was hit by senior men who shouldn't be driving. My car now has significant cosmetic damage and will cost more than it's worth to fix so I'm trading it in for a '94 Taurus GL sedan ::tear tear:: I would buy it again if given the opportunity!,,,,
1992,06-10-2005,4,0.4239,3.125, Average of only 10000Km. Has 103000KM Replaced two back struts radiator  fan air conditioning compressor & clutch 1200.00) throttle body 1800.00) transmission(2885.00) ignition (240.00) radio (400.00) side molding on driver side seat 180.00) front end work (400.00). Never owned a vehicle that caused so much grief.,,,,
1992,09-10-2005,4,-0.2911,2.25, I bought this from a family member with 80000 miles on it for $1500.  Has been nothing but trouble.  I've spent much more than it's worth in repairs.,,,,
1992,26-10-2005,4,0.6841,3.875,Handles well on corners. Solid feel.,,,,
1992,07-11-2007,4,0.4019,2.375, got the car from my grandmother and had it for a year and took it to a auto shop they told me i needed inner and outer tie-rod ends cv boots a wheel bearing and struts...the struts were the only thing that shouldve been replaced at that time they said. the tranny felt like it would drop every time i shifted too. also had horrible gas mileage but no reasonable explanation,,,,
