year,date,qtr,Vader Sentiment,Normal rating,review,
1990,13-02-2003,1,0,5, I have been driving my civic since it ,
1990,07-06-2006,1,0.4939,4.375,Unfortunately this model was made before cup holders became as ubiquitous as they are now. I don't have a single one.,
1990,02-05-2007,1,0.7669,4.625,Stick Shift (Manual Transmission),
1990,12-02-2008,1,0,5,was brand new on the dealers lot ,
1990,24-04-2008,1,0.8541,4.5,Basic Civic I have really has no features really to speak of. Bare bones car.,
1990,03-01-2010,1,0,3.375,13years ago.  It has been the best and ,
1990,16-09-2011,1,0,4.125, LOVE this car!! ive had it for 4 years and have loved every bit of it. this has been a great car for me ive put 80k on it and it now has 270xxx on it. i put the 5 speed trans in it rear disc brakes si seats hx gold wheels and tons of other little stuff here and there. over all this is a great little car and is more fun to drive than you would think for 70 hp.,
1990,14-08-2006,2,-0.155,4,5 speed and hand crank windows,
1990,13-09-2007,2,0.5042,4.875," The roomy 1990 Honda Civic Wagon had dimensions nearly identical to the current 2011 Honda Fit except the roomy 2011 Honda Fit is much more generous in height at 60"" tall. ",
1990,27-09-2007,2,0,4.25, I had this car as a gift from my Uncle.  He had been using this to drive to work 120 miles a day until I had it 10 years ago where I drove 110 miles a day.  Never had any major problems.  Engine is phenomenal - never been repaired since we got it.  On top of that the engine still sounds like brand new very quiet.  Only bad experience with this car was when I had to push it from a freeway to an exit for a gas it was my fault though - I ran out of gas.  However at an average of 38 miles per gallon with today's gas prices - you'll definitely will try looking for this COLLECTIBLE piece of treasure.  I love this car!,
1990,02-08-2009,2,-0.296,3.75, Great car but made for short people and I'm a tall person. Six foot 1.75 inch people like me really lack in the leg room when driving but it is a nice car. Like the look of the next generation civic more though.,
1990,19-03-2002,3,-0.3566,4.375,Cupholders!!!!,
1990,09-09-2006,3,0.4588,4.375, We bought this car new. That means I've been driving this car for 17 years now and I'm not ready to give it up. Other than needing a new muffler every couple years or so it hasn't need major money output to maintain. I am only just now having the brakes done for the second time. Mileage is wonderful I still get between 32 and 36 mpg. The head gasket has a tiny crack but leak is all but unnoticeable. I just check my oil level and keep it up. It's a manual  and I live in Michigan I have never had major problems driving in winter conditions. The road clearance is very low so I do have to be careful about bottoming out in some situations (it usually gets the muffler.),
1990,20-10-2006,3,0.9738,4.5,my favorite feature on the car is the overall design of it i'm a import tuner guy and there are so many parts you can get for these cars its unreal,
1990,01-03-2011,3,0.9726,3.875,WINDOWS!!!! this little sucker is all window and i love it.,
1990,29-12-2003,4,0.3612,4.5,but the 2011 Honda Fit achieves more power with better fuel economy.,
1990,19-05-2006,4,0.8221,3.75,The 1990 Honda Civic Wagon weighs a bit less than the 2011 Honda Fit,
1990,31-12-2006,4,0.6369,4, My car is great it has had a few problems but nothing i couldn't fix myself and for only 5 or ten bucks the car had 200k miles on it when i got now its up to 213k and still running strong it has the original motor in it everything but the seat belts are original its a great car to drive and is very fun ,
1990,06-12-2015,4,0,5,see new vehicles on the side of the ,
1990,23-02-2016,4,0.6369,5,most reliable car I've ever owned. I ,
1991,11-06-2002,1,-0.4019,4.75, 122k mi and i still dont have any ,
1991,04-01-2003,1,0,4.625,mileage is still about 33 MPG.  My ,
1991,02-12-2004,1,-0.3089,3.125,buy this car! My combined city/highway ,
1991,28-08-2011,1,0.9113,4.5,I like the contour of the car and the fact that it's a hatchback but still small enough to get great gas mileage.  It's comfortable to sit in and the reduced ground clearance makes it really hug the turns.  I can take a corner at about 25 MPH and it's never left me on the side of the road.,
1991,23-05-2012,1,0,5, 2012...Perhaps 20 years 140k miles and $5k total so far over that entire time for non-consumable,
1991,18-08-2008,2,-0.765,4.75,getting it started ever... in chicago ,
1991,03-12-2009,2,0,3.25,$500. After 14 years of moving large ,
1991,07-03-2010,2,0,4.375,repairs (CV boots cracked engine mounts etc.),
1991,05-09-2010,2,0.4767,4,It seems like every other year I get a note left on my 1991 Honda Civic SI hatchback's windshield:,
1991,30-05-2004,3,0,4.125,The original engine is still running fine.,
1991,13-11-2006,3,0.876,4.25,Lightweight surprisingly good bucket seats easy to find parts easy to modify swappable parts with Integras and other civics wishbone suspension low ratio gearing sleeper exterior look extensive aftermarket support.,
1991,01-03-2009,3,0,4.125,problems with it. i have no problem ,
1991,14-11-2015,3,-0.6683,5, I bought it from a friend of mine who only used it for long trips on the east coast.  It had no rust and under 100 thousand miles on it.  A year later it has 150 thousand miles and still runs strong.  it's fun sporty can carry heavy loads and has never broken down on me.  I had the oil changed at Walmart they never put new oil in it.  I ran it unwittingly for 2 months before I realized the problem and it's never suffered or seized.  My mother had a 1986 Honda Prelude spun it rolled it and still drove it home.  that car died out at 300 thousand miles!  they're easy to fix parts are easy to find and they are exceptionally cheap to maintain.  I've done most of the work on mine myself.,
1991,03-04-2002,4,0,5,weather on top of it!,
1991,21-10-2003,4,0.2714,4.5,gas milage the pickup it has for  having something like 70 hp,
1991,29-10-2004,4,0.3612,5, I can't believe I was smart enough to ,
1991,09-10-2007,4,0.0772,3.75, Bought this thing after it was beat on to crap. Very easy to fix up and modify. Great entry level auto-x ride. Wishbone suspension by far beats the econo macpherson setup of the newer gen.  Stock sohc engine is worthless but again easy to replace and swap out.  Prone to lots of rust with its age. Very little maintanence needed if it's just transportation that you need.  Very light with an engine swap and an adjustable suspension and you have yourself a good sporty car. Parts are interchangeable with integra's which adds to the availability of parts. A lot can be done to the car despite its age.  ,
1991,01-08-2010,4,0.8885,4.625,Can't help but be stuck with the more boxy design wind drag is slightly more than the newer 92-95's small engine bay front crossmember has to be replaced with a custom one for big engine add ons thin exterior panels.,
1991,22-02-2011,4,0,4.875,most expensive repair has been under ,
1991,05-04-2012,4,0.3612,4.625,Do you want to sell this as-is? Call me at xxx-xxxx,
1992,20-01-2003,1,0.5106,4.875,Have just done required maintance. ,
1992,02-05-2003,1,0.296,4.875, This car is a lot of fun to drive around Chicago.  The light weight the 5-speed manual the 1.5 liter engine and the tight handling make it feel sporty.  Low maintenance.  High MPG.  The body is solid but starting to rust a bit around the rear wheel wells.  After a wash and wax I get offers from random people on the street to buy it.  Just can't bring myself to replace it.  Honda really did this one right.,
1992,01-08-2009,1,0.7783,4.625,cheap cheap cheap to run and keep running.  best car of its time and outlasts even newer civics.  people know it is a high quality car regardless  of age.,
1992,31-05-2015,1,0.3182,5,157000 miles and car still strong. ,
1992,09-03-2002,2,0,4.875,Still a great car consistently gets ,
1992,30-04-2003,2,0.6249,3.875,30 - 32 MPG in daily city driving. ,
1992,30-05-2003,2,0,4.625, I am original owner. Have just turned ,
1992,08-06-2003,2,0.9032,4.875,Reliability and fuel mileage,
1992,16-01-2006,2,0.9548,4.5," Overall a great car. Small yet roomy on the inside. Superb car on the gas! Small engine but w/ 5-speed was able to keep up w/ ""big guys"". I ended my Honda experience being crushed by a tractor-trailer at the stop sign - I am alive but I cannot imagine surviving a real crush ",
1992,29-04-2008,2,-0.9338,5, With fuel the way it is I parked the F 150 crew cab and purchased this vehicle used with 88844 original miles on it.  I have not owned it long but I am already wondering what I ever did with out it.  My first fuel cycle resulted in a MPG of 40.8 mostly highway.  That is a lot better than the 17.5 I was getting.  Now my wife 2 daughters and myself are  all driving Honda's ranging from 92 Civic 02 Accord 04 Accord and 07 Civic.  These have all been great vehicles and I can imagine owning any other make.,
1992,03-08-2011,2,0.6249,4.5,No power and absolutely no pick up over 70 mph especially w/ AC on. All joints are fragile I had to replace shocks and all twice in 4 years police magnet due to fast and furious film fiasco doesn't do well in accidents w/ semi's make sure to replace all belts as schedule or repairs will cost you,
1992,14-09-2012,2,0.296,4, I drove this car until it died. I got the car in 1998 and I got my 350 dollars out of it that I definitely owe Honda some money (Don't tell them that). The car currently has 298000 miles on it. They really don't make cars like that anymore. Sometimes it was really hard to start but always kept me safe. I drove this car from NY to PA TN IN GA SC FL CT OH to name a few places. I loved my car rust and all. The thing is the engine is still alive and kicking .Thing is the car will fall apart but the engine is really built to last. Its just water is coming in now and the alternator has finally died. Bottom line if I could get a semi new 1992 Honda Civic. I would buy it yesterday.,
1992,31-01-2015,2,0.6369,1,better uv protection for windows and paint.  even new civics are just as noisy and engine buzzy.,
1992,26-03-2007,3,0.5267,5,Low maintenance.  High MPG.  So many aspects come together to make it a fun little car for zipping around town.,
1992,08-05-2008,3,-0.3662,4.375,Quick pick up great gas saver ,
1992,21-06-2010,3,0,4.75, I've been tempted to see the car trade it in for anything because the car lasts so long. I am the original owner when it first came out it was the first rounded edge small luxury car. Sure somethings needed replacement: 2 radiators 1 set cv boots 3 alternators 2 ignition coils. Every thing else I could replace myself. I solved the problem of wind noise 14 years later with a rubber band stuffed in the door rubber grommets to press it against the window better and to place some noise insulation underneath the floor and inside the front doors. Get a k & n air filter and pickup from stop is good enough. On the freeway given the light weight at high speed it can match any car from 70+,
1992,28-06-2016,3,0.7468,5,All,
1992,28-12-2004,4,0.9715,4.75,1992  219228 Civics produced 3889 VX    1.77%,
