year,date,qtr,Vader Sentiment,Normal rating,review,
2017,13-06-2017,2,0,5, Purchased 2017 Titan Pro X after looking at all of the other 1/2 ton trucks and loving it sofar!  I have towed a 7000 lb travel trailer without issue and the truck is great to drive.  Love the sound of the V8 but wish it got a bit better mileage.,
2017,20-02-2017,1,0.9359,5, I purchased a Titan in November 2016 after years of wanting to buy a pickup truck. There was a great deal of time spent comparing the features specs prices etc. of all full size and midsize pickups on the market. I also test drove many of these pickups but wanted to wait until the new Titan arrived before making the decision.  After a test drive of the Titan I was quite impressed with the performance features and overall value. Within a week of the test drive I bought one. The Titan comfortably accommodates my family of five and our gear for extended road trips. It cruises down the interstate with no effort and handles snow and mud without issue. It is a very thoughtfully designed vehicle and I hope it is as reliable as previous Nissan vehicles my family has owned. If I had to buy it again I would!,
2010,15-09-2010,3,0.9651,5, This is my first Z since high school.  Traded in my S Class Mercedes.  Love the fun of it and hopefully will continue to adjust to the road noise and sports car ride.  That being said like others backing up and changing lanes is an adventure.  All the controls are at your fingertips and very comfortable seats.  My husband is 6 ft. 5 in. so not for him but it's mine anyway.,
2010,09-09-2010,3,0.8536,5,All interior components.  Stylish looks,
2010,03-09-2010,3,0,5,Back up mirror a must,
2010,11-08-2010,3,0,5, This is my first Z.  It reminds me of an earlier generation Porsche 911.  It's a Touring coupe with Sports Package and Nav package. Tremendous roadability and handling with wonderful manual 6-speed tranny decent power and beautiful dynamics +++ fun factor. It's more of an eye-turner than my Porsche Turbo S cab.  Only dislike is the exhaust note and slow initial climb to higher RPM. ,
2010,05-08-2010,3,0.8481,5,Interior and exterior styling and engineering are exemplary. The Z is at the top of favorite vehicles I have owned (mostly Porsche). Ergonomics and six-speed transmission are stand outs!,
2014,25-07-2013,3,0.6239,5, We got our blue Versa Note on 7-12-13. I have to say we did a lot of research on this vehicle and others Honda Fit Hyundai Elantra etc. what drove us to the new note was it's,
2014,27-07-2014,3,0.3612,5,claim on fuel economy.,
2014,11-12-2013,4,0,4,Well after driving it for almost 2 weeks now I can say that there fuel economy rating is pretty spot on we are getting 34 in the city and the few times that it has been on the highway we are getting 42 on the highway. I am quite impressed with that. It has a nice quite ride for a car of its size also. The exterior is stylish but the interior is the same as the versa sedan which bland. But the controls are all easy to get to and work well the back up camera is quite handy. Updates coming. 7-25-16  Now that we have had it for just over 3 years I have to say it is good for an around town car lots of little shakes and noises from the dash. It is a cheap car and that reflects with the interior componets. Fuel economy is still very good overall getting 36.5 mpg. It is definitely not meant for cold and snow starts good warms up slow.  As for the summer it will take it 30 miles to cool the car down it has a very weak climate control system you have to turn up the fan all the way to 4 just to feel some air whether it is hot or cold  and it is very noisy. Overall a good commuter car as for taking on long trips be prepared for back aches.  Would not buy it again or recommend to others has kinda soured me on purchasing another make of Nissan as I am afraid they will be the same for the heating and cooling part of it.,
2014,28-06-2013,2,0.9862,4.875," We say ""surprisingly good"" because if one read all the negative reviews...well you get the idea.",
2014,03-01-2014,1,-0.5719,4.5, Note's MPG with usually two aboard and under all conditions including steep hills and a couple of mountains is astonishing at 40+ mpg average. ,
