year,date,qtr,Vader Sentiment,Normal rating,review,
1990,26-02-2002,1,0.9828,4.5,Some might find this funny. But its acceleration is quite impressive. Size: it can seat 5. And if you park it next to a coupe. It will still look more compact. This car just makes you smile. Its something else. Ageless design.,
1990,27-02-2002,1,0.4215,3.875,I've owned it since 2001 (second owner) and other than oil changes batteries and headlights I've never had to have any work done on it.,
1990,06-03-2002,1,0.858,4.875,Nothing...it hasn't let me down but if anything maybe AC but hell I just roll my windows down ;),
1990,13-03-2002,1,-0.694,5,hated to part with it. It was an ,
1990,04-01-2003,1,0,4.625,dealer at just under 100000 miles.  ,
1990,10-01-2003,1,0,3.375,it had only 1 minor repair aside from ,
1990,22-03-2003,1,0.7163,3.75,None.,
1990,12-01-2004,1,0.6369,3.75, I owned the land cruizer for a few ,
1990,11-03-2010,1,-0.509,4.375, I have two Toyota Camrys. We liked the 1990 so much we bought a 1991. Essentially their twins... except one is a manual shift one an automatic. My wife wishes it would die so she could get a new one.,
1990,14-03-2010,1,0.5093,5, This vehicle is what gave Toyota the great reputation it enjoyed for 20 yrs until the recall problems today! Last spring I had the engine rebuilt and installed it myself to enjoy it for the next 20 yrs as it gets 20 mpg city & 34 mpg hwy! (Manual transmission) 5 spd!,
1990,01-01-2016,1,0.9382,5, Bought my 1990 4dr Corolla (base model no power anything) in 2014 for $865 as my first car. It wasn't in terrible condition but it had been sitting so all four tires were dry-rotted. I replaced the front two to avoid slipping in the winter serviced transmission performed an oil change and performed a tune up. With a couple hundred dollars into it it was running fine and continues to do so despite being 26 years old now. There is an exhaust leak the door handle fell off once and one night the battery terminal literally broke in half and disconnected itself while driving. Fixed it the next day with a $5 dollar one from Auto Zone and everything was back to normal. I've put ~10K miles on it in a little over a year. Being an 18-year-old boy it definitely isn't the most exciting thing to drive for me but it gets me where I need to go with around 30 MPG as I drive like a granny in town. Purely based on value it's a better one than any other first car I could've chosen. There was no other car I could've bought that would have cost this little and still work reliably every day.,
1990,26-02-2016,1,0.6249,5,consignment over 2 years ago have ,
1990,02-04-2002,2,0.7777,5,A tighter steering radius as I have also owned a 1990 vw passat that only bested the Toyota by making a tighter u turn!,
1990,29-05-2002,2,-0.5994,4.375,It has been garaged most of its life so the paint has held up well. My mother added some crappy after-market stuff (like fake chrome and pinstriping) that I may have removed someday.,
1990,25-06-2002,2,0,4.875,system never worked right.  There was ,
1990,01-04-2003,2,0.8513,4.5,Dependablity!! Cost of parts are inexpensive and you can always find someone to work on them. Feature would be auto/electric windows. Great with kids and dogs in back!,
1990,04-06-2003,2,0,4.125,routine things (brake job battery ,
1990,27-06-2003,2,-0.6369,5,unbelievably reliable car. In 13 years ,
1990,02-06-2005,2,0,4.5, The 3.0 L V6 is one of the worst engines ever made there are serious problems with the head gaskets. I own one and it has gone through 2 head gaskets in less than 200000 miles at a cost of $1500 to $1800 each time. Do not buy these vehicles! Toyota will only replace the gasket one time but refuses to accept that it is a design flaw not only a gasket problem.,
1990,25-04-2007,2,0,4.375, At the age of 17 big red has over 290000 miles on her. Great for bopping around town or on long hauls. Never any problems from defects except the original radiator-pin leak on top (but we were at 220000 miles!). Have only had to do the timing belt twice clutch and brakes once and minor tuneup tweaks. Just keeping the fluids clean pays off! Safety is awesome;stopped in traffic on the freeway I was rear-ended at 53 mph. Everyone fine in truck tire on rear took the force though the tire bracket was bent into the truck window still went up and down fine.,
1990,01-05-2008,2,-0.1716,4.75,It is pretty reliable though and I am glad I have it. It is paired with a 1995 Toyota Corolla my main vehicle. This 4Runner was built during a time when Toyota stood for quality!  Twenty-five years old and running strong.,
1990,12-05-2008,2,0,4.625, This car was great. Bought on ,
1990,19-05-2008,2,0.7845,4.625,I have learned how to drive it. It isn't very powerful so I have to take it out of overdrive to climb hills and I can't count on just pulling out in traffic (it doesn't accelerate well). The gas mileage is surprisingly poor: 13-17 mpg. I need new seals in the engine as well but that's just age.,
1990,07-05-2011,2,-0.7227,3.125, The best car ever made! A little bland but reliability makes up for that.,
1990,27-05-2011,2,0.917,4.875,I was the second owner. ,
1990,31-05-2011,2,0,4.875,it's old so of course it's not the prettiest of cars! ,
