year,date,qtr,Vader Sentiment,Normal rating,review,
1990,10-01-2003,1,-0.4767,4.625,replace brakes muffler etc. I would ,
1990,21-01-2003,1,0.7684,4.5, very very good car,
1990,03-03-2004,1,0,4.5,recommend this car to anyone. Only ,
1990,02-05-2002,2,0.5379,4.625,i love the volkswagen 2.0l engine. no  one makes one better.,
1990,20-05-2002,2,0.4404,3.625,Give it better acceleration in first gear and better wiper controls.,
1990,26-06-2003,2,0.6689,5,major ever went wrong. Only had to ,
1990,10-07-2002,3,0.8126,5, I bought my VW used and owned it for 8 ,
1990,03-08-2002,3,0.9708,3.875, Generally we like this car.  Expensive ,
1990,29-07-2003,3,0,2.875,on it and it was immaculate. It runs ,
1990,21-07-2006,3,0.7003,3.625, I bought my passat with 140000 miles ,
1990,26-10-2002,4,0.8561,4.875,The power moonroof tilting front and back seats roominess handling good gas mileage and power on the highway.,
1990,15-11-2006,4,-0.887,4.5, I bought my 1990 Passat for my first car and I don't regret it.  Petunia May (her name) is an awesome highway car but it is hard to park in tight areas.  Other than that I love it.  I had to do some break repairs to it which cost an arm and a leg but to me that is wear and tear parts.  They are going to need attention one time or another in any car you buy.,
1990,19-10-2008,4,0,5,years and absolutely loved it! Nothing ,
1993,01-02-2004,1,0.9061,4.875,"Awesome trunk space.  Comfortable seating for my height (5'4"") and spouse's (6'3"").  Great family car.",
1993,16-02-2009,1,-0.6486,4.25, I bought one used from a private sale.  It had 100 thousand miles on it when purchased.  It had over 200K miles on it before we turned it in.  The cost of the repairs were worth more than the car when we replaced it. The ride was very smooth as you could ride the highway in third gear and not realize it.  Only major repairs we needed to do was for brakes and muffler.  This was the first Jetta I owned and made me a huge fan of Volkswagens. It made a great family car.  Due to its size was able to park in the school's parking lot very easily amongst all the minivans and SUVs.,
1993,23-06-2008,2,0,3.875,the diesel engine but with the electrically ,
1993,16-12-2002,4,0,5, Cold winter driving was my main concern with ,
1993,30-12-2003,4,0.91,4.625,Before we replaced this vehicle door handles snapped off and had to be replaced.  That's something that is cheap to fix and I could do myself. Windows also fell off track and had to be fixed.,
1995,12-02-2007,1,0,4.375,never had to fix anything mechanical on ,
1995,22-02-2007,1,0.4404,4.625,2002 Honda my parents drive.  I've ,
1995,07-04-2003,2,0,2.25,years old and it runs better than the ,
1995,11-04-2003,2,0,3.75,got me hooked on European cars.  It's 8 ,
1995,06-05-2003,2,0,4.75, This Jetta is my first car.  Plus it's ,
2004,03-01-2007,1,-0.5267,4.875,$700 for heater blower motor (in California - so hardly ever used).,
2004,02-01-2015,1,0.6249,2.875,electrical system!!!!!! they should own up for this problem SUV and figure out a way to fix all the electrical problems better yet give people there money back and scape all these SUV as I will never own another VW again because of this SUV.,
2004,13-01-2016,1,-0.3045,1,The incredible engine and excellent fuel economy for such power.  The interior is spectacular in both design and comfort.,
2004,22-01-2016,1,0,5, Purchased thinking I bought a $60000 car with 60000 miles.,
2004,30-01-2016,1,0.7351,5," I bought this car used at 100000 had it for over 2 years. I've had absolutely no issues. I've had my breaks changed and tires and it didn't break the bank. Word to the wise make friends with someone who is familiar with these cars. My mechanic changes my breaks for under $100 [i purchased the brakes] my tires are 20"" run me $123 a piece cash! Shop around and you won't spend so much the dealer over charges EVERYONE KNOWS THAT!!'",
2004,20-04-2010,2,-0.8553,3.125,Electrical,
2004,21-05-2010,2,-0.0516,2.75, I purchased an off-lease VW Touareg that was VW certified drove well for 1 year then electrical problems started.  Truck would just die without any lights etc being on.  Since then it has been in and out of Volkswagen for complete electrical failure even VW doesn't know how to fix it.  They claimed it was after-market wiring which is strange because it was a certified used VW.  Anyone looking to buy a used Touareg don't do it you will never be able to drive it and pay almost more than the car is worth fixing it!,
2004,22-05-2011,2,0,2.5,It should hold up till 100000 miles.,
2004,24-05-2011,2,0.9732,2.875, I'd like to meet the genius who designed this beast.,
2004,04-04-2012,2,0.5397,3.625, Wife uses this as a daily driver to work - 20 mile round trip - almost all highway miles.,
2004,23-05-2012,2,0.3612,2.875,I was just informed by my dealer that to change the liquid cooled alternator would involve 14 hours of labor to pull the engine and cost $2118.00!!,
2004,22-05-2014,2,0.3612,3.875, You will get a love hate relationship with this SUV. It drives great great in the snow has great power. It is fun to drive and looks nice. The SUV has some stupid build designs like the battery is under the drivers seat. Lets talk about how expensive it is to own this vehicle. Replaced thermostat $1200. that right $1200.00 the front part of the car has to be taken off the thermostat is in the front of the engine so you might as well replace water pump and belt. Your going to have problems with the airbags the tire monitoring system. The worst part is the battery drain as I hate a car that wont start. So it gets expensive to own the vehicle. Oh and the brakes that was another $1100.,
