website_name,company_name,Author_name,Article_Name,date,rating,pros,cons,review_rating,expert_remarks,remarks
www.autotrader.co.uk,Audi',Andy Pringle,Latest diesel Audi TT now available with four-wheel drive,First published: 30th January 2017,,,,,,"For the first time, buyers of the latest Audi TT can specify a car that carries two of the company’s most famous badges: TDI and Quattro."
www.autotrader.co.uk,Chrysler',,Chrysler 300C saloon (2012 – ) review,Last updated: 4th November 2014,3.2,"Stand out from the crowd,Relaxing and smooth to drive,All the gadgets you’ll ever need","Not as cheap to run as the best competitors,The automatic gearbox feels out-of-date,It needs to go on a diet",,"
Fancy a slice of Americana in the UK? The Chrysler 300C may as well have stars and stripes on its grille. We love its looks and gadgets, but it can’t compete with the Germans for efficiency.
","Read the Chrysler 300C saloon (2012 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives"
www.autotrader.co.uk,Bentley',,Bentley Continental Flying Spur saloon (2005 – 2013) review,Last updated: 21st November 2014,3.9,"Ultimate performance limousine,Plenty of rear space,Prestige","Subtle looks are too plain for some tastes,Rarefied running costs,Heavy depreciation",,"
Luxury saloon and high performance sports car all in one package? Look no further than the Bentley Continental Flying Spur.
","Read the Bentley Continental Flying Spur saloon (2005 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Ferrari',,Ferrari California convertible (2008 – 2014) review,Last updated: 21st November 2014,4.1,"Appealing dual-personality,Fantastic engine,Easy to live with","Cramped rear seats,Small boot with the roof down,Expensive",,"
A Ferrari for all seasons and all reasons? That’s certainly how it seems with the new California convertible.
","Read the Ferrari California convertible (2008 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Citroen',James Richardson,Citroen Grand C4 Picasso MPV (2013 - ) review,Last updated: 6th January 2015,3.8,"Distinctive styling,Comfortable ride,Clever, versatile interior","Automatic gearbox is sluggish,Numb steering,Slightly notchy manual ‘box",,"
The new Citroen Grand C4 Picasso is a seven-seat version of the sharply-styled, five-seat C4 Picasso. It’s spacious, comfortable and looks great, while providing all the versatility required for a family car. There’s a good range of engines on offer, too, providing a good balance between economy and performance. 
","Read the Citroen Grand C4 Picasso (2013 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives"
www.autotrader.co.uk,Honda',Ivan Aistrop,Honda Civic hatchback (2017 - ) review,First published: 2nd March 2017,3.8,"Enjoyable and comfortable to drive,The petrol engines on offer are cracking,Should prove to be faultlessly reliable","Looks will be pretty divisive,Numerous rivals are more practical,Entry-level car needs more standard equipment",,"
The latest Civic is a real contender in the family hatchback class, and with the standard of the opposition, that’s really saying something. It’ll keep you comfortable and entertained in equal measure, and the entry-level petrol engine is great on both performance and economy. It’s not the poshest-feeling hatchback, and it’s a little limited on practicality, but if you can live with that, the Civic should definitely be on your shopping list.
",There's a lot of competition in the family hatchback class. Can the new Honda Civic hold its own?
www.autotrader.co.uk,Audi',Ivan Aistrop,Driving the Audi Q5 in Mexico,First published: 26th October 2016,,,,,,"Less than a week after the covers came off the new Audi Q5, we were given the chance to drive it on the sun-beaten roads of Mexico. "
www.autotrader.co.uk,Honda',Andy Pringle,Honda launches limited edition of Civic Type R,First published: 10th January 2017,,,,,,"Black Edition marks the end of production of this generation of Civic Type R and, as it's limited to just 100 units, is set to become a collector's item"
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai Tucson SUV (2015 - ) review,Last updated: 27th August 2015,3.5,"Good-value package of equipment,Spacious and practical interior,Excellent refinement","Firm ride with 19-inch wheels,Restricted view at the rear corners,Some disappointing materials in cabin",,"
As a stylish and practical family car, with good-value prices and the added versatility of four-wheel drive on many models, the Tucson has a lot going for it. We do have a few reservations, especially about the efficiency and performance of the best-selling 1.7-litre diesel, so we’d recommend that buyers who are tempted by this sort of car also look at a Nissan Qashqai or Skoda Yeti. 
","The Tucson is a five-seat SUV with the accent on style and good value that will tempt buyers away from the likes of the Nissan Qashqai, Honda CR-V and Toyota RAV4"
www.autotrader.co.uk,Dacia',Ivan Aistrop,Dacia Sandero Hatchback (2013 - ) review,Last updated: 3rd December 2014,4.1,"Amazingly cheap to buy and run,More spacious than similarly priced city cars,Better to drive than you might expect","Unfamiliar badge and brand in the UK,Poor refinement,Cheapest model is very basically equipped",,"
The price alone makes the Sandero a hugely attractive car, but when you throw in all its other attributes – the low running costs and the space inside, for example – it creates a package that will doubtless appeal to many buyers. 
","Read the Dacia Sandero (2013 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives"
www.autotrader.co.uk,Fiat',,Fiat Bravo Hatchback (2007 - 2012) review,Last updated: 16th December 2014,3.1,"Looks great,Cheap to buy and run,Excellent diesel engines","So-so ride and handling,Build quality below average,Depreciation is heavy",,"
The Fiat Bravo is cheap to buy and run plus it’s great to look at. There are some great engines too, but depreciation is heavy and it’s dynamically mediocre.
","Read the Fiat Bravo hatchback (2007 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Jaguar',Jon Quirk,I bought one - Jaguar E-Type,First published: 10th September 2014,,,,,,"Six years after she realised her lifelong ambition of owning an E-Type, Sarah Dowding still loves her classic car"
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai i20 Coupe (2015 - ) review,Last updated: 13th May 2016,3.8,"Spacious interior,Decent kit count,Good value for money","Limited engine choice,Interior not special enough,Some ergonomic issues",,"
The Hyundai i20 Coupe might not have the power to back up the styling, but it’s well equipped, easy to drive, well priced and fairly cheap to own. A good budget alternative to a Ford Fiesta, then.
","The Hyundai i20 is a rakish version of the Korean brand's practical supermini, but is it any good? We drive it in the UK to find out."
