Post,comments
" Ken Washington, Ford vice president of research and advanced engineering and chief technology officer explains the reasoning behind Ford’s new Robotics and Artificial Intelligence Research team.
","Rick Heon
      
 Thank you Ken Washington, it is the wave of the Future."
" Ken Washington, Ford vice president of research and advanced engineering and chief technology officer explains the reasoning behind Ford’s new Robotics and Artificial Intelligence Research team.
","Denis Cadogan
      
Hi Ford, my new car has been on a ramp for 2 months in a ford dealership in Ireland because they can't get a flywheel for it.  It's a brand new car (Ford Custom Tourneo Limited) With ongoing problems since purchase. No one from Ford Ireland has ever contacted us in person.  We have now been told the part is expected on the 28 of this month.  We have no faith it will arrive as the date keeps moving.  Our insurance will not cover us after the 28th. Is their anything Ford Motor Company  can do.  We have the car adapted and it houses a wheelchair and stability dog.
At this point we should just be given a new car if ours cant be fixed.  Regards Denis, Dublin, Irl."
" Ford to open its first Smart Mobility office outside of the U.S. Find out how the new London office will drive mobility solutions to the next level.
","
Khushal Sahare
      
Sir my name is khushal sahare i am job work in Ford Motor company so i request sir there work from"
" Giving back to the local community is crucial. That’s why Ford has funded over $1 million in scholarships to more than 1,000 Detroit-area students to-date. Learn more about this year’s Blue Oval Scholars award ceremony.
","Rick Heon
      
 Alway a Good day doing these works. Thank you Ford."
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","
 Jonathan Viney
      
 Most of these cars should already be in Dubai."
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","Dinesh Babulal Jain
I m mumbai base Dinesh jain dealing in import licence Dfia/ Shis /MEIS/ FPS if any one interested to buy or sell  its save your duty and it's fully transferable as per FTP 2014 to 2019 
kindly contact +919833887978
Mail : info@bdintl.in"
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","
Marina Alex Nelson
      
 Maybe F-350 will become solar some day too? For our US domestic market of course....."
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","
 
Justin Roberts
      
 Is this future number 101 or 102? There are simply so many about it's difficult to keep track.
 


Anil Kumar
      
 You should be happy this time, renewable energy is getting used..




"
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","

"
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","
 
MARY YSABEL MAESTRE MARTINEZ
      
 Alfredo Alejandro Sotillo Natera



"
" Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.
","
Michelle Diller, PE
      
 Solar panels  on the roof - awesome!  
"
