Company,Quarter,Word,Count
Fiat Motor Corp,Q1 2012,clutch,3
Fiat Motor Corp,Q1 2013,abarth,4
Fiat Motor Corp,Q1 2013,back,3
Fiat Motor Corp,Q1 2013,buy,3
Fiat Motor Corp,Q1 2013,day,3
Fiat Motor Corp,Q1 2013,feel,3
Fiat Motor Corp,Q1 2013,find,4
Fiat Motor Corp,Q1 2013,fun,7
Fiat Motor Corp,Q1 2013,gas,4
Fiat Motor Corp,Q1 2013,get,6
Fiat Motor Corp,Q1 2013,great,5
Fiat Motor Corp,Q1 2013,k,3
Fiat Motor Corp,Q1 2013,like,3
Fiat Motor Corp,Q1 2013,little,3
Fiat Motor Corp,Q1 2013,look,4
Fiat Motor Corp,Q1 2013,love,4
Fiat Motor Corp,Q1 2013,low,3
Fiat Motor Corp,Q1 2013,make,3
Fiat Motor Corp,Q1 2013,many,3
Fiat Motor Corp,Q1 2013,mileage,3
Fiat Motor Corp,Q1 2013,month,3
Fiat Motor Corp,Q1 2013,say,3
Fiat Motor Corp,Q1 2013,seat,5
Fiat Motor Corp,Q1 2013,test,4
Fiat Motor Corp,Q1 2013,trip,3
Fiat Motor Corp,Q1 2013,use,3
Fiat Motor Corp,Q1 2013,vehicle,3
Fiat Motor Corp,Q1 2013,way,3
Fiat Motor Corp,Q1 2013,would,5
Fiat Motor Corp,Q1 2013,year,3
Fiat Motor Corp,Q1 2014,always,3
Fiat Motor Corp,Q1 2014,auto,3
Fiat Motor Corp,Q1 2014,automatic,5
Fiat Motor Corp,Q1 2014,blast,3
Fiat Motor Corp,Q1 2014,buy,4
Fiat Motor Corp,Q1 2014,clutch,3
Fiat Motor Corp,Q1 2014,get,3
Fiat Motor Corp,Q1 2014,give,3
Fiat Motor Corp,Q1 2014,go,3
Fiat Motor Corp,Q1 2014,great,4
Fiat Motor Corp,Q1 2014,k,3
Fiat Motor Corp,Q1 2014,like,5
Fiat Motor Corp,Q1 2014,love,5
Fiat Motor Corp,Q1 2014,make,3
Fiat Motor Corp,Q1 2014,manual,5
Fiat Motor Corp,Q1 2014,mile,7
Fiat Motor Corp,Q1 2014,much,3
Fiat Motor Corp,Q1 2014,new,4
Fiat Motor Corp,Q1 2014,one,5
Fiat Motor Corp,Q1 2014,problem,4
Fiat Motor Corp,Q1 2014,put,3
Fiat Motor Corp,Q1 2014,seat,5
Fiat Motor Corp,Q1 2014,shift,3
Fiat Motor Corp,Q1 2014,speed,3
Fiat Motor Corp,Q1 2014,stop,3
Fiat Motor Corp,Q1 2014,transmission,6
Fiat Motor Corp,Q1 2014,trip,4
Fiat Motor Corp,Q1 2014,turbo,3
Fiat Motor Corp,Q1 2014,use,4
Fiat Motor Corp,Q1 2014,way,3
Fiat Motor Corp,Q1 2014,well,3
Fiat Motor Corp,Q1 2015,abarth,3
Fiat Motor Corp,Q1 2015,allow,3
Fiat Motor Corp,Q1 2015,also,3
Fiat Motor Corp,Q1 2015,although,3
Fiat Motor Corp,Q1 2015,always,3
Fiat Motor Corp,Q1 2015,arm,3
Fiat Motor Corp,Q1 2015,around,4
Fiat Motor Corp,Q1 2015,average,3
Fiat Motor Corp,Q1 2015,back,5
Fiat Motor Corp,Q1 2015,best,3
Fiat Motor Corp,Q1 2015,better,3
Fiat Motor Corp,Q1 2015,bite,5
Fiat Motor Corp,Q1 2015,brake,3
Fiat Motor Corp,Q1 2015,buy,8
Fiat Motor Corp,Q1 2015,change,3
Fiat Motor Corp,Q1 2015,city,4
Fiat Motor Corp,Q1 2015,close,3
Fiat Motor Corp,Q1 2015,come,5
Fiat Motor Corp,Q1 2015,cool,4
Fiat Motor Corp,Q1 2015,cost,3
Fiat Motor Corp,Q1 2015,cup,5
Fiat Motor Corp,Q1 2015,design,3
Fiat Motor Corp,Q1 2015,driver,3
Fiat Motor Corp,Q1 2015,e,4
Fiat Motor Corp,Q1 2015,easily,3
Fiat Motor Corp,Q1 2015,engine,5
Fiat Motor Corp,Q1 2015,even,6
Fiat Motor Corp,Q1 2015,extra,3
Fiat Motor Corp,Q1 2015,feature,3
Fiat Motor Corp,Q1 2015,feel,4
Fiat Motor Corp,Q1 2015,find,4
Fiat Motor Corp,Q1 2015,first,4
Fiat Motor Corp,Q1 2015,fit,4
Fiat Motor Corp,Q1 2015,freeway,5
Fiat Motor Corp,Q1 2015,front,3
Fiat Motor Corp,Q1 2015,full,3
Fiat Motor Corp,Q1 2015,fun,4
Fiat Motor Corp,Q1 2015,gas,4
Fiat Motor Corp,Q1 2015,get,13
Fiat Motor Corp,Q1 2015,give,4
Fiat Motor Corp,Q1 2015,go,8
Fiat Motor Corp,Q1 2015,good,4
