" This was my dream car.  In purchasing","5"
" overall toyota has done an outstanding","4"
"innovation to its landcruiser while","5"
"many people may perfer the sequioa","5"
"becasue of the cheaper tag the","5"
"landcruiser is well wroth the price it","5"
" This is my first 4x4 i have had a lot","5"
"of fun driving it up and down 100 meter","5"
"high sand dunes in the UAE then going","4"
"out of the sand and inflate the tyres","5"
"and drive at 100 MPH for hours, and few","4"
" If you purchase the Land Cruiser for its intended use it cannot be beat. For low maintenance and off road, on road ability it cannot be beat in the long run. It is not intended to be a grocery getter. All are built in Japan and intended to last 300k miles. They are shipped all over the world for tough off road conditions. Enjoy your Cruisers. I have owned 5 throughout the years. Do your research and you will not be disappointed. Look at the vehicles diplomats are escorted in dangerous situations around the world and you will notice a large majority are the Cruisers.","1"
"Durability and ruggedness with civility.","5"
"The newer versions have addressed the issues of on road ability.","4"
" Look anyone who owned or currently owns Landcruisers should be fairly well-versed with them. Everyone knows of their reliability & craftsmanship, areas where they are 2nd to none. No doubt they are huge and ponderous to drive and like any other large SUV are big boxes in the wind that return poor gas mileage. However, for pure reliability and comfort, toyota comes thru. This is a pricey vehicle, no doubt, and you would expect memory seats and a more appointed interior, but a true toyota buyer does his homework thoroughly up front and knows their strength is in the fact that you will own this vehicle for years to come and when you move on, most likely your loyalty will remain with toyota","1"
"Nav, nav, nav. Rear camera.","4"
" Forget about the hype from other","5"
"manufacturers who claim to be the","4"
"best, the original, 'professional","5"
"grade', etc.  The Toyota Landcruiser","4"
"is the best built, most durable, full-","5"
" Hi all, just wanted to voice my","5"
"opinion.  I just purchased a 2002","5"
"Landcruiser, this after owning a 2001","5"
"vehicle until I purchased a 96","4"
"Landcruiser. FJ80 as the more avid","5"
"Landcruiser Owner would call it,","4"
"Knowing that you have a tank like","5"
" I purchased this vehicle used in 1998 with 38000 miles. I bought my first Land Cruiser, an FJ40, in 1976 and my first wagon in 1978. You cannot beat the durability and reliability of this vehicle. It handles very well, rides smooth and quiet on road, and will go just about anywhere offroad when needed. It will never leave you stranded.","1"
"Solid construction and 'go anywhere' capability. The straight six has tons of torque and is absolutely reliable.","3"
"Fuel economy is around 12mpg overall.  Like to see a little more legroom up front.","2"
" Bought the Land Cruiser because I heard of its great reliability.  Its been a good car, able to haul kids up skiing and having no trouble with snow.  My problem is maintenance.  It goes through brake pads and rotors.  Second set of rotors in 80,000 miles.  Also had the head gasket blow out in Vail, which was extremely expensive.  Spent far more on maintenance on this car than any other I've owned, including my Fords.  I leave it in the garage except to haul kids skiing.  Think I got the LC Lemon.","1"
" After 9K miles in four months, I am","4"
" I've had my LC for 7 years and the only things I've had to replace are tires and brakes.  The car is bulletproof not just in toughness but also styling and functionality.  Surfing out of the way spots is a piece of cake.  Driving in snowdrifts -  no problem.  Pulling up to the finest restaurants - you feel totally comfortable and stylish.  This car will be used for years to come and will never be sold...","1"
"Visibility, looks, toughness, simple functionality, spaciousness and reliability.","4"
"more cupholders, side mirrors aren't motorized (although the mirrors within are).","5"
" A little surprised at the maintenance","4"
"costs. Bought this vehicle used at 78k","4"
" I spent my formative years in Papua New","5"
"Guinea, where, if you wanted to get","3"
"someplace, you drove a Cruiser.  Not","4"
"much has changed.  I visit Hoduras,","5"
" if you are talking Build Quality and","3"
"Reliability then throw in excellent","5"
"ride, comfort  and the best damn air","5"
"conditioner in a vehicle then the L.C.","4"
"is the best suv on the planet. i have","5"
" with a week, I used this suv and got","4"
"sick of playing inside this because it","5"
"works ploddingly in gear down and","5"
"noisily. I got a bad feeling in turning","4"
"left or right from highway","4"
