NEWS Headlines,Publish Time
DBT wins major order with Nissan Europe..,16-Jun-17
Nissan says May China vehicle sales +5.7 pct y/y ,05-Jun-17
"Russia's Avtovaz says 2017 sales seen at more than 300,000 vehicles ",03-Jun-17
Nissan Group of North America says total U.S. sales for May 2017 up 3 pct ,01-Jun-17
GSR Capital nearing deal to acquire Nissan Motor's rechargeable battery unit for about $1 bln - Bloomberg ,26-May-17
Nissan CEO says can reach 8 pct global market share in 6 years if China share rises to 8 pct from 5 pct ,11-May-17
Nissan Motor begins mass production of new Navara pickup truck in China - Nikkei ,08-May-17
Nissan says China sales in April up 9.5 pct y/y ,04-May-17
"Nissan Group of North America says April U.S. sales of 121,998 units, down 1.5 pct ",02-May-17
"Mobileye to generate, share, and utilize vision data for crowdsourced mapping with Nissan ",25-Apr-17
Nissan says March China vehicle sales +9.0 pct y/y ,07-Apr-17
"Nissan Group says U.S. sales in March 2017 was 168,832 units ",03-Apr-17
Calsonic Kansei says outcome of ToB offered by KKR ,23-Mar-17
Nissan North America reports executive changes ,21-Mar-17
"Mitsubishi Motors to unify personnel, organizational structures with those of Nissan - Nikkei ",14-Mar-17
Nissan announces U.S. senior management changes ,14-Mar-17
Renault-Nissan Alliance forms light commercial vehicle business unit ,14-Mar-17
Nissan says Feb China vehicle sales up 23.0 percent y/y ,03-Mar-17
Renault-Nissan Alliance and Transdev to jointly develop driverless vehicle fleet system ,27-Feb-17
Nissan Motor says Hiroto Saikawa appointed CEO ,22-Feb-17
Infomedia signs contract with Nissan Motor ,20-Feb-17
Infomedia signs contract with Nissan Motor<7201.T><IFM.AX> ,19-Feb-17
"R&I affirms Nissan Motor Co Ltd's rating at ""A+"" and changes outlook to positive from stable -R&I ",17-Feb-17
Nissan exec says not much leeway to raise U.S. production ,09-Feb-17
"Renault-Nissan alliance delivers significant growth in 2016, extends electric vehicle sales record ",08-Feb-17
U.S. January light vehicle sales total 17.01 mln units at SAAR - Wards ,30-Jan-17
Nissan says China 2016 sales rise 8.4 pct y/y ,06-Jan-17
"Nissan Group U.S. says sales for December 2016 totaled 152,743 units, up 9.7 pct ",04-Jan-17
"Nissan North America says Randy Knight will retire on April 1, 2017 ",15-Dec-16
Nissan Motor to retire 62 mln treasury shares ,15-Dec-16
Nissan says November China vehicle sales +10.7 percent y/y ,05-Dec-16
Nissan's November U.S. vehicle sales rise 7.5 pct ,01-Dec-16
Calsonic Kansei: To discuss Nissan's stake sale at board meeting Tuesday ,21-Nov-16
Nissan Motor Co to sell Calsonic Kansei to KKR - Nikkei ,21-Nov-16
Nissan Motor buys back 300 mln shares for 305.71 bln yen ,17-Nov-16
Nissan says October China vehicle sales +16.1 percent y/y ,04-Nov-16
"Nissan posts total U.S. sales of 113,520 units for October, down 2.2 pct ",01-Nov-16
Nissan Motor repurchases 40 mln shares in October ,01-Nov-16
Nissan eyes sale of Calsonic Kansei stake to KKR - Nikkei ,27-Oct-16
Nissan to end production of Nissan Tsuru in Mexico by May 2017 ,26-Oct-16
Nissan's Ghosn sees Mitsubishi Motors partnership synergies of 60 bln yen by FY2018 ,20-Oct-16
Nissan CEO Ghosn: don't intend to interfere with MMC management ,20-Oct-16
Nissan agrees to hold Mitsubishi Motors shares for next 10 years ,13-Oct-16
Nissan says Sept China vehicle sales +26.3 percent y/y ,11-Oct-16
"Nissan posts total U.S. sales of 127,797 units for Sept., up 5 pct ",03-Oct-16
Microsoft and Renault-Nissan alliance signed global multiyear deal ,26-Sep-16
Nissan Motor to retire 108 mln treasury shares on Sep. 30 ,23-Sep-16
"Ashok Leyland, Nissan Motor sign restructuring agreement<7201.T><ASOK.NS> ",07-Sep-16
Nissan says Aug China vehicle sales +16.6 percent y/y ,05-Sep-16
Nissan Group says total U.S. sales for August down 6.5 pct ,01-Sep-16
Nissan Motor buys back 44 mln shares for 43.48 bln yen in August ,01-Sep-16
Mitsubishi expects latest fuel economy revelation to have little impact on Nissan stake ,30-Aug-16
Nissan says July China vehicle sales +8.9 percent y/y ,03-Aug-16
Nissan Motor updates share repurchase status ,02-Aug-16
Nissan Motor granted stay of execution by South Korean court on sales ban - Nikkei<7201.T> ,06-Jul-16
Nissan says June China vehicle sales +17.0 percent y/y ,05-Jul-16
Nissan Group announces total U.S. sales for June up 13 pct ,01-Jul-16
Nissan Motor repurchases 26 mln shares for 27.16 bln yen in June ,01-Jul-16
Nissan Motor to retire 104 mln treasury shares ,22-Jun-16
Russia's Avtovaz says Renault may give it 6-month loan of 20 bln rbls - Ifax ,06-Jun-16
Nissan says May China vehicle sales +3.4 percent y/y ,03-Jun-16
Nissan Group says total U.S. sales for May 2016 down 1 pct ,01-Jun-16
"Nissan recalls nearly 80,000 SUVs for brake light problem - AP ",01-Jun-16
Nissan Motor updates share repurchase status,01-Jun-16
Nissan: considering various options for Calsonic Kansei ,24-May-16
Nissan Motor Co Ltd may sell entire Calsonic Kansei stake - Nikkei ,23-May-16
"Mitsubishi Motors: manager at subsidiary falsified data to compete with rivals, respond to pressure from management ",18-May-16
Nissan's Ghosn: will end duplication under Mitsubishi Motors deal ,12-May-16
Nissan CEO Ghosn comments from earnings briefing ,12-May-16
Nissan says Mitsubishi Motors expected to restore credibility under Renault-Nissan alliance ,12-May-16
Mitsubishi group firms to hold 22 pct percent of Mitsubishi Motors after share issuance to Nissan ,12-May-16
Nissan Motor to form business and capital alliance with Mitsubishi Motors Corp ,12-May-16
Mitsubishi Motors to issue new shares to Nissan - filing ,12-May-16
Trading in Mitsubishi Motors suspended - Tokyo Stock Exchange ,11-May-16
"Nissan in talks to take control of Mitsubishi Motors - Bloomberg, citing NHK ",11-May-16
Mitsubishi Motors And Nissan Motor to cover customer costs from mileage scandal - Nikkei<7201.T><7211.T> ,09-May-16
Nissan says Jan-April China vehicle sales +0.8 pct y/y ,09-May-16
Nissan Motor updates share repurchase status ,09-May-16
Nissan Motor Co Ltd - Mitsubishi Motors Corp says cheated on mileage tests for 25 years - Reuters News ,26-Apr-16
Nissan Motor Co Ltd - Mitsubishi Motors Corp manipulated mileage data on electric car -Sankei - Reuters News ,21-Apr-16
"Nissan Motor Co Ltd - Mitsubishi Motors Corp admits manipulating fuel economy data, shares tumble - Reuters News ",20-Apr-16
"Nissan Motor Co Ltd recalls 720,000 vehicles in Japan - Reuters News ",14-Apr-16
